--- ABOUT ---
"Pitti Engg. is engaged in the manufacturing of Electrical Steel Laminations, Motor Cores, Sub-Assemblies, Die-Cast Rotors, Press Tools and machining of metal components."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,801","1,009","1,070",32.3

Book Value,Dividend Yield,ROCE,ROE
262,0.15,14.8,12.5

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,248,290,303,302,336,391,429,415,469,457,478,477,501
Expenses +,207,247,258,250,284,333,363,348,389,381,400,397,419
Operating Profit,41,42,45,51,52,58,66,67,80,75,78,81,82
OPM %,16%,15%,15%,17%,15%,15%,15%,16%,17%,16%,16%,17%,16%
Other Income +,16,1,13,3,32,3,26,6,4,7,21,7,5
Interest,10,12,11,14,14,17,19,13,19,21,19,21,22
Depreciation,13,13,13,16,16,17,20,21,22,26,26,27,27
Profit before tax,34,19,33,25,54,28,53,39,42,37,54,40,37
Tax %,26%,25%,32%,38%,14%,30%,28%,26%,14%,37%,26%,29%,29%
Net Profit +,25,14,22,16,46,19,38,29,36,23,40,28,27
EPS in Rs,7.75,4.36,6.87,4.90,14.35,6.04,10.72,7.64,9.60,6.08,10.65,7.49,7.07
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,525,518,954,"1,100","1,244","1,705","1,913"
Expenses +,447,439,821,949,"1,063","1,433","1,597"
Operating Profit,78,80,133,151,181,271,316
OPM %,15%,15%,14%,14%,15%,16%,16%
Other Income +,4,19,16,18,48,39,40
Interest,34,30,40,45,51,68,83
Depreciation,27,30,39,45,59,81,105
Profit before tax,20,39,71,80,119,162,168
Tax %,14%,25%,26%,26%,25%,24%,30%
Net Profit +,17,29,52,59,90,122,118
EPS in Rs,5.34,8.97,16.18,18.36,27.99,32.48,31.29
Dividend Payout %,0%,0%,13%,15%,5%,5%,8%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,16,16,16,16,19,19
Reserves,,220,268,318,457,880,968
Borrowings +,,318,393,356,628,690,811
Other Liabilities +,,148,280,287,290,416,340
Total Liabilities,,701,957,978,"1,391","2,004","2,138"
Fixed Assets +,,285,327,364,465,"1,027","1,153"
CWIP,,1,1,24,122,63,50
Investments,,16,16,15,0,0,0
Other Assets +,,399,613,574,804,914,935
Total Assets,,701,957,978,"1,391","2,004","2,138"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,32,88,223,80,289,205
Cash from Investing Activity +,,-66,-93,-104,-247,-536,-175
Cash from Financing Activity +,,28,12,-87,203,269,-9
Net Cash Flow,,-6,7,32,37,22,21
Free Cash Flow,,-33,10,118,-129,-58,15
CFO/OP,,47%,80%,170%,50%,120%,76%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,121,78,60,63,55,39
Inventory Days,,171,147,112,136,118,124
Days Payable,,115,119,117,113,119,77
Cash Conversion Cycle,,178,106,55,86,54,87
Working Capital Days,,24,23,9,16,3,22
ROCE %,,,18%,18%,19%,17%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.29%,59.29%,59.29%,59.29%,59.29%,53.58%,54.17%,54.17%,54.17%,54.17%,54.17%,54.17%
FIIs +,0.19%,0.13%,0.22%,0.50%,0.79%,1.29%,1.31%,0.90%,0.79%,0.87%,0.93%,1.12%
DIIs +,6.19%,5.51%,6.56%,5.88%,5.87%,17.53%,18.36%,18.80%,19.15%,20.53%,20.23%,20.23%
Public +,34.34%,35.07%,33.94%,34.33%,34.04%,27.61%,26.15%,25.27%,24.85%,22.78%,22.71%,22.52%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.85%,1.03%,1.65%,1.97%,1.97%
No. of Shareholders,"28,542","34,506","41,372","43,750","45,703","50,993","54,531","53,368","54,800","39,520","37,953","37,405"

--- CAGR BOXES ---




