--- ABOUT ---
"Established in 2017, Dev Accelerator Limited, commonly known as DevX, provides flexible office spaces, including coworking environments [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
342,36.2,64.4,39.3

Book Value,Dividend Yield,ROCE,ROE
20.6,0.00,12.0,7.35

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,24.91,34.47,49.75,65.40,55.63,51.84,59.20,59.26
Expenses +,10.90,16.34,25.67,34.09,29.24,25.42,35.29,26.78
Operating Profit,14.01,18.13,24.08,31.31,26.39,26.42,23.91,32.48
OPM %,56.24%,52.60%,48.40%,47.87%,47.44%,50.96%,40.39%,54.81%
Other Income +,0.22,14.33,2.26,2.94,1.32,2.71,2.85,2.94
Interest,8.76,11.38,12.21,15.18,12.26,12.64,9.25,10.28
Depreciation,11.13,14.44,13.32,16.54,14.51,14.80,14.94,14.64
Profit before tax,-5.66,6.64,0.81,2.53,0.94,1.69,2.57,10.50
Tax %,5.48%,6.02%,13.58%,16.60%,85.11%,-3.55%,139.30%,24.10%
Net Profit +,-5.97,6.24,0.69,2.12,0.14,1.76,-1.01,7.96
EPS in Rs,"-4,294.96",0.93,0.10,0.31,0.02,0.20,-0.11,0.88
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,31,70,108,159,226
Expenses +,17,40,43,78,117
Operating Profit,14,30,65,80,109
OPM %,45%,43%,60%,51%,48%
Other Income +,0,2,3,19,10
Interest,7,17,31,45,44
Depreciation,15,30,45,52,59
Profit before tax,-8,-16,-9,3,16
Tax %,-9%,-20%,-105%,34%,44%
Net Profit +,-8,-13,0,2,9
EPS in Rs,"-6,953.70","-10,516.39",316.18,0.26,0.98
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,0.01,13,22
Reserves,-6,-2,25,38,164
Borrowings +,89,239,328,389,370
Other Liabilities +,18,46,57,100,88
Total Liabilities,101,282,411,540,644
Fixed Assets +,79,228,269,293,261
CWIP,0,0,0,0,70
Investments,1,1,9,53,39
Other Assets +,21,54,133,193,274
Total Assets,101,282,411,540,644

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,14,26,8,94,90
Cash from Investing Activity +,-7,-24,-41,-38,-121
Cash from Financing Activity +,-6,-4,33,-53,49
Net Cash Flow,1,-1,0,3,18
Free Cash Flow,7,2,-26,82,-8
CFO/OP,107%,93%,16%,130%,83%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,23,19,40,97,44
Inventory Days,,,,,0
Days Payable,,,,,
Cash Conversion Cycle,23,19,40,97,44
Working Capital Days,-213,-265,-146,-114,-23
ROCE %,,1%,8%,12%,12%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,36.81%,36.81%,36.81%
FIIs +,3.37%,2.34%,1.43%
DIIs +,6.96%,5.56%,4.94%
Public +,52.85%,55.28%,56.82%
No. of Shareholders,"25,216","21,909","19,891"

--- CAGR BOXES ---




