--- ABOUT ---
"Bajaj Auto, the flagship company of Bajaj Group, is a two-wheeler and three-wheeler manufacturing company that exports to 79 countries across several countries in Latin America, Southeast Asia, and many more. Its headquarter is in Pune, India. It has acquired 48% of the KTM Brand which manufactures sports and super sports two-wheelers, which was 14% in 2007 when the company first acquired KTM. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,81,343","10,066","10,835 / 7,858",26.1

Book Value,Dividend Yield,ROCE,ROE
"1,389",1.49,28.2,29.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"8,929","10,312","10,838","12,165","11,555","11,932","13,247","13,169","12,646","13,133","15,735","16,204","17,832"
Expenses +,"7,272","8,380","8,708","9,750","9,271","9,562","11,174","10,418","10,289","10,340","12,906","12,475","14,757"
Operating Profit,"1,657","1,932","2,130","2,415","2,284","2,370","2,073","2,751","2,358","2,793","2,829","3,730","3,075"
OPM %,19%,19%,20%,20%,20%,20%,16%,21%,19%,21%,18%,23%,17%
Other Income +,595,351,552,356,444,335,399,348,392,509,576,359,"1,894"
Interest,16,12,7,12,30,47,75,120,147,224,287,314,344
Depreciation,76,87,92,93,93,95,98,102,119,118,119,119,289
Profit before tax,"2,160","2,184","2,584","2,666","2,606","2,564","2,299","2,876","2,484","2,961","2,999","3,656","4,336"
Tax %,21%,25%,22%,24%,23%,24%,40%,24%,27%,25%,29%,25%,19%
Net Profit +,"1,705","1,644","2,020","2,033","2,011","1,942","1,385","2,196","1,802","2,210","2,122","2,750","3,492"
EPS in Rs,60.25,58.11,71.39,71.78,72.05,69.55,49.61,78.62,64.52,79.15,75.99,98.38,131.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"21,595","22,574","21,755","25,210","30,358","29,919","27,741","33,145","36,455","44,870","50,995","62,905"
Expenses +,"17,467","17,781","17,326","20,364","25,160","24,809","22,803","27,886","29,991","36,106","41,440","49,844"
Operating Profit,"4,128","4,793","4,429","4,846","5,198","5,109","4,938","5,259","6,465","8,765","9,555","13,061"
OPM %,19%,21%,20%,19%,17%,17%,18%,16%,18%,20%,19%,21%
Other Income +,228,"1,194","1,468","1,404","2,028","1,832","1,570","2,671","1,703","1,700","1,472","2,704"
Interest,6,1,1,1,4,3,7,9,40,60,389,"1,169"
Depreciation,267,307,307,315,266,246,259,270,286,365,414,645
Profit before tax,"4,083","5,679","5,588","5,933","6,956","6,692","6,241","7,652","7,842","10,040","10,224","13,952"
Tax %,31%,28%,27%,29%,29%,22%,22%,19%,23%,23%,28%,24%
Net Profit +,"3,026","4,061","4,079","4,219","4,928","5,212","4,857","6,166","6,060","7,708","7,325","10,574"
EPS in Rs,104.56,140.35,140.98,145.80,170.29,180.11,167.85,213.08,214.17,276.10,262.29,384.41
Dividend Payout %,48%,39%,39%,41%,35%,67%,83%,66%,65%,29%,80%,39%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,289,289,289,289,289,289,289,289,283,279,279,280
Reserves,"10,806","13,731","17,567","20,136","22,944","21,373","26,984","29,570","29,079","28,683","34,909","38,552"
Borrowings +,112,118,120,121,125,126,121,123,124,"1,912","9,364","22,713"
Other Liabilities +,"4,758","3,102","3,661","4,595","5,476","4,722","6,207","5,129","5,651","8,470","9,557","15,678"
