--- ABOUT ---
"IIFL Wealth Management Limited, founded in 2008, is one of the largest private wealth management firms in India. The company mainly acts as wealth manager and provides services relating to financial products distribution, advisory, portfolio management services by mobilizing funds and assets of various classes of investors including High Networth Individuals. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"46,570","1,145","1,274",38.3

Book Value,Dividend Yield,ROCE,ROE
242,1.05,12.1,14.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,482,573,550,630,791,849,865,780,821,911,"1,098","1,181","1,115"
Expenses +,210,220,237,255,505,272,324,336,360,346,401,456,452
Operating Profit,272,353,313,375,286,577,541,444,461,566,697,725,663
OPM %,56%,62%,57%,60%,36%,68%,63%,57%,56%,62%,63%,61%,59%
Other Income +,48,8,73,41,260,-1,28,154,101,69,9,39,54
Interest,108,125,146,167,207,214,232,222,218,229,254,296,312
Depreciation,12,13,14,14,17,16,17,17,20,32,39,41,43
Profit before tax,200,224,227,235,323,345,319,359,324,374,413,427,363
Tax %,22%,18%,18%,18%,25%,29%,23%,23%,23%,24%,24%,23%,20%
Net Profit +,155,184,186,192,243,244,245,276,250,285,315,327,289
EPS in Rs,4.37,5.15,5.20,5.36,6.76,6.72,6.73,7.12,6.35,7.04,7.79,8.08,7.11
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,705","1,578","1,521","1,654","2,072","2,057","2,921","3,684","4,362"
Expenses +,652,589,698,715,915,766,"1,216","1,292","1,655"
Operating Profit,"1,053",990,823,939,"1,157","1,291","1,705","2,391","2,707"
OPM %,62%,63%,54%,57%,56%,63%,58%,65%,62%
Other Income +,10,1,6,2,6,5,4,-87,116
Interest,559,431,502,414,370,399,643,887,"1,090"
Depreciation,14,22,41,43,42,46,57,71,155
Profit before tax,490,538,286,485,751,850,"1,009","1,347","1,577"
Tax %,22%,30%,30%,24%,23%,23%,20%,25%,23%
Net Profit +,380,375,201,369,578,658,804,"1,015","1,216"
EPS in Rs,,,5.77,10.50,16.28,18.48,22.41,25.83,29.94
Dividend Payout %,19%,23%,87%,167%,84%,373%,74%,23%,40%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,17,17,18,18,36,36,39,41
Reserves,"1,847","2,894","2,974","2,810","3,006","3,086","3,414","7,026","9,795"
Borrowings +,"6,966","6,103","8,838","5,077","5,808","6,784","9,472","11,160","15,931"
Other Liabilities +,737,749,"1,191",834,"1,903","1,285","2,193","1,543","1,434"
Total Liabilities,"9,567","9,763","13,021","8,739","10,734","11,191","15,114","19,768","27,201"
Fixed Assets +,31,337,608,837,816,880,940,"1,281","3,969"
CWIP,22,173,1,2,0,39,64,88,0
Investments,"1,111","3,053","6,512","2,513","4,072","3,609","5,948","7,608","8,842"
Other Assets +,"8,403","6,200","5,899","5,386","5,846","6,663","8,163","10,791","14,389"
Total Assets,"9,567","9,763","13,021","8,739","10,734","11,191","15,114","19,768","27,201"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"-2,772","1,852","1,628",463,929,"-1,323",-470,"-2,411","-2,921"
Cash from Investing Activity +,"1,073","-2,133","-3,361","4,128","-1,128",788,"-1,574","-1,065","-1,613"
Cash from Financing Activity +,"1,263",-80,"2,290","-4,836",251,556,"1,978","3,773","4,357"
Net Cash Flow,-437,-362,557,-245,52,21,-67,297,-177
Free Cash Flow,"-2,809","1,643","1,536",437,912,"-1,395",-571,"-2,458","-3,017"
CFO/OP,-251%,203%,213%,62%,98%,-84%,-12%,-88%,-90%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,42,68,58,50,47,54,41,44,42
Inventory Days,,,,,,,0,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,42,68,58,50,47,54,41,44,42
Working Capital Days,"-1,010",-84,-18,17,-166,-41,-121,-15,40
ROCE %,,11%,8%,9%,13%,13%,14%,15%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,21.46%,20.84%,17.78%,17.76%,15.79%,15.71%,14.76%,14.20%,6.27%,6.26%,6.25%,6.24%
FIIs +,63.93%,61.87%,62.48%,63.22%,64.56%,65.58%,66.16%,67.22%,68.54%,65.87%,65.51%,63.33%
DIIs +,3.79%,6.36%,8.87%,8.34%,8.72%,8.46%,9.73%,8.48%,7.87%,10.68%,10.82%,12.75%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Public +,10.82%,10.92%,10.86%,10.70%,10.92%,10.23%,9.36%,10.08%,17.31%,17.18%,17.41%,17.67%
No. of Shareholders,"35,921","38,102","42,622","46,512","58,786","74,074","71,912","74,164","68,603","78,007","74,516","74,294"

--- CAGR BOXES ---




