--- ABOUT ---
Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement producer in India with an installed capacity of 46.4 MTPA. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"90,472","25,075","32,508",51.9

Book Value,Dividend Yield,ROCE,ROE
"6,449",0.44,10.5,7.78

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"5,100","5,036","4,774","5,193","5,401","5,124","4,054","4,573","5,532","5,281","4,761","4,801","6,101"
Expenses +,"4,211","4,091","3,888","3,930","3,979","4,197","3,441","3,608","4,103","3,948","3,787","3,853","4,717"
Operating Profit,889,945,886,"1,264","1,422",927,613,965,"1,429","1,333",974,947,"1,384"
OPM %,17%,19%,19%,24%,26%,18%,15%,21%,26%,25%,20%,20%,23%
Other Income +,146,169,132,147,150,139,181,111,158,235,179,146,101
Interest,71,74,67,55,62,56,56,52,41,46,51,59,56
Depreciation,473,339,412,444,702,704,716,799,788,654,668,710,762
Profit before tax,491,700,539,913,807,306,23,225,758,868,434,324,667
Tax %,-7%,18%,17%,23%,16%,9%,-229%,14%,24%,26%,29%,17%,21%
Net Profit +,525,572,447,702,676,278,77,194,575,644,310,268,528
EPS in Rs,145.72,158.62,123.79,194.53,187.05,77.22,21.19,53.60,159.18,178.12,85.51,73.92,145.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"6,259","5,514","8,594","9,833","12,555","12,868","13,560","15,010","17,852","20,404","19,283","20,943"
Expenses +,"4,916","4,107","6,081","7,360","9,758","9,098","9,468","11,300","14,893","15,887","15,349","16,306"
Operating Profit,"1,344","1,407","2,513","2,473","2,797","3,771","4,091","3,710","2,960","4,517","3,934","4,638"
OPM %,21%,26%,29%,25%,22%,29%,30%,25%,17%,22%,20%,22%
Other Income +,102,673,362,389,69,263,426,544,459,598,589,661
Interest,121,76,129,135,248,291,251,216,263,258,205,212
Depreciation,925,828,"1,215",899,"1,472","1,808","1,262","1,146","1,661","1,897","3,007","2,794"
Profit before tax,401,"1,176","1,531","1,827","1,146","1,934","3,004","2,892","1,495","2,959","1,312","2,293"
Tax %,-6%,3%,13%,24%,11%,20%,24%,19%,15%,19%,14%,24%
Net Profit +,426,"1,143","1,339","1,384","1,015","1,544","2,290","2,337","1,269","2,396","1,124","1,749"
EPS in Rs,122.37,328.13,384.38,397.32,288.86,425.67,633.54,646.31,352.18,663.98,311.18,483.24
Dividend Payout %,20%,7%,36%,13%,21%,26%,9%,14%,28%,16%,35%,31%

--- BALANCE SHEET ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,35,35,35,35,35,36,36,36,36,36,36,36
Reserves,"5,241","6,811","7,663","8,862","9,636","13,133","15,361","17,424","18,600","20,667","21,502","23,231"
Borrowings +,917,881,"1,293","3,403","2,803","3,146","2,230","2,129","2,725","1,656","1,046","1,868"
Other Liabilities +,"1,805","1,737","2,175","2,842","3,019","3,629","3,886","4,159","4,973","5,566","5,880","6,340"
Total Liabilities,"7,998","9,463","11,166","15,142","15,493","19,944","21,513","23,749","26,334","27,925","28,464","31,476"
Fixed Assets +,"3,004","3,050","2,599","3,589","6,182","6,163","6,216","7,282","7,481","9,591","9,315","11,207"
CWIP,511,264,710,"1,427","1,129","1,197",997,"1,054","2,797","1,930","3,796","1,466"
