--- ABOUT ---
"JFSL was originally incorporated as Reliance Strategic Investments Private Limited in July, 1999 under the Companies Act 1956.  Jio Financial Services Limited was incorporated in  July, 23. JFSL is a NBFC-ND-SI registered with RBI. The company is a holding company and will operate its financial services business through its consumer-facing subsidiaries namely Jio Finance Limited (JFL), Jio Insurance Broking Limited (JIBL), and Jio Payment Solutions Limited (JPSL) and joint venture namely Jio Payments Bank Limited (JPBL). [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,61,414",244,339,105

Book Value,Dividend Yield,ROCE,ROE
211,0.20,1.86,1.19

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,414,608,414,418,418,694,438,493,612,981,901,"1,019"
Expenses +,38,66,94,98,74,140,125,155,156,293,346,414
Operating Profit,376,542,320,320,344,553,313,338,457,688,555,605
OPM %,91%,89%,77%,77%,82%,80%,71%,69%,75%,70%,62%,59%
Other Income +,67,218,67,78,62,226,70,71,67,238,36,40
Interest,10,0,0,0,0,0,0,8,99,136,212,298
Depreciation,5,5,5,5,5,6,6,6,6,8,8,8
Profit before tax,427,754,381,393,400,773,377,396,419,783,371,339
Tax %,22%,11%,23%,21%,22%,11%,22%,20%,23%,11%,28%,20%
Net Profit +,332,668,294,311,313,689,295,316,325,695,269,272
EPS in Rs,,1.05,0.46,0.49,0.49,1.08,0.46,0.50,0.51,1.09,0.42,0.43
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,45,"1,855","2,043","3,513"
Expenses +,6,296,495,"1,208"
Operating Profit,39,"1,559","1,549","2,305"
OPM %,88%,84%,76%,66%
Other Income +,10,429,428,381
Interest,0,10,8,745
Depreciation,0,22,23,29
Profit before tax,49,"1,956","1,947","1,912"
Tax %,37%,18%,17%,18%
Net Profit +,31,"1,605","1,613","1,561"
EPS in Rs,,2.53,2.54,2.46
Dividend Payout %,0%,0%,20%,24%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,"6,353","6,353","6,353"
Reserves,"114,118","132,794","117,143","127,500"
Borrowings +,743,0,"3,970","21,768"
Other Liabilities +,66,"5,715","6,033","7,875"
Total Liabilities,"114,930","144,863","133,500","163,497"
Fixed Assets +,158,172,180,418
CWIP,38,3,14,13
Investments,"108,141","133,292","118,910","133,089"
Other Assets +,"6,593","11,395","14,395","29,977"
Total Assets,"114,930","144,863","133,500","163,497"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"2,055",-678,"-10,083","-15,439"
Cash from Investing Activity +,"-1,110","1,441","6,406","-5,697"
Cash from Financing Activity +,-889,-753,"3,962","21,454"
Net Cash Flow,56,11,285,318
Free Cash Flow,"2,055",-678,"-10,125","-15,544"
CFO/OP,"5,231%",-22%,-633%,-658%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,113,3,3,6
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,113,3,3,6
Working Capital Days,"3,644",21,-37,"14,113"
ROCE %,,2%,1%,2%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Apr 2026
Promoters +,46.77%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,47.12%,49.13%
FIIs +,21.58%,19.83%,19.45%,17.55%,16.88%,15.62%,11.66%,12.30%,11.85%,11.55%,12.31%,11.61%
DIIs +,13.64%,12.99%,12.50%,11.79%,11.39%,12.46%,14.21%,14.68%,14.78%,15.36%,14.26%,13.34%
Government +,0.13%,0.14%,0.14%,0.15%,0.15%,0.17%,0.17%,0.18%,0.18%,0.18%,0.18%,0.18%
Public +,17.86%,19.92%,20.77%,23.39%,24.46%,24.61%,26.83%,25.70%,26.07%,25.77%,26.11%,25.75%
No. of Shareholders,"39,83,144","40,83,129","43,99,041","48,02,851","48,60,795","49,78,984","52,59,483","51,18,346","50,73,442","49,61,997","49,44,256","49,76,390"

--- CAGR BOXES ---




