--- ABOUT ---
"Incorporated in 2006, Anthem Biosciences Ltd is in the business of providing CRDMO services and the manufacture and sale of specialty ingredients. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"44,552",791,874,73.2

Book Value,Dividend Yield,ROCE,ROE
54.2,0.25,30.4,22.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,339,525,498,483,540,550,423,611
Expenses +,218,330,338,288,349,332,266,344
Operating Profit,121,195,160,195,191,218,157,267
OPM %,36%,37%,32%,40%,35%,40%,37%,44%
Other Income +,19,28,24,14,23,48,8,52
Interest,4,4,3,1,2,3,0,2
Depreciation,19,20,20,30,26,34,35,40
Profit before tax,118,200,161,178,186,230,130,278
Tax %,30%,19%,23%,54%,27%,24%,29%,32%
Net Profit +,82,162,124,83,136,173,93,190
EPS in Rs,1.47,2.90,2.22,1.48,2.42,3.09,1.65,3.38
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,633,"1,103","1,231","1,057","1,419","1,845","2,124"
Expenses +,451,695,666,626,914,"1,173","1,291"
Operating Profit,182,408,565,431,506,672,834
OPM %,29%,37%,46%,41%,36%,36%,39%
Other Income +,21,37,49,139,63,85,131
Interest,20,17,10,9,10,11,7
Depreciation,62,62,58,64,82,89,134
Profit before tax,121,366,546,497,477,657,824
Tax %,23%,26%,26%,23%,23%,31%,28%
Net Profit +,93,271,406,385,367,451,592
EPS in Rs,110.62,319.74,462.09,6.75,6.57,8.07,10.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,19%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,9,114,112,112,112
Reserves,413,693,"1,346","1,627","1,813","2,298","2,930"
Borrowings +,159,100,35,126,239,113,53
Other Liabilities +,207,232,228,148,235,284,334
Total Liabilities,787,"1,034","1,619","2,014","2,398","2,808","3,429"
Fixed Assets +,306,361,329,449,483,705,783
CWIP,50,19,154,164,345,297,264
Investments,99,209,273,499,472,433,"1,007"
Other Assets +,333,445,863,902,"1,099","1,373","1,374"
Total Assets,787,"1,034","1,619","2,014","2,398","2,808","3,429"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,166,278,333,306,140,418,844
Cash from Investing Activity +,-109,-196,-205,-376,-221,-152,-702
Cash from Financing Activity +,-48,-63,181,64,-77,-134,-40
Net Cash Flow,9,18,308,-6,-158,133,103
Free Cash Flow,119,159,307,112,-156,154,637
CFO/OP,116%,85%,81%,98%,51%,86%,126%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61,84,97,95,126,89,101
Inventory Days,186,29,52,139,129,167,56
Days Payable,87,50,50,77,61,54,34
Cash Conversion Cycle,160,63,99,156,193,202,124
Working Capital Days,20,27,75,112,128,134,207
ROCE %,,55%,51%,28%,24%,28%,30%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.69%,74.69%,74.67%
FIIs +,1.66%,1.37%,1.28%
DIIs +,7.21%,7.60%,11.55%
Public +,16.42%,16.34%,12.48%
No. of Shareholders,"2,17,681","1,99,492","1,80,220"

--- CAGR BOXES ---




