--- ABOUT ---
"Incorporated in 1986, XTGlobal Infotech Ltd provides Software product development, training, and software services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
371,27.7,46.3,32.2

Book Value,Dividend Yield,ROCE,ROE
15.2,0.18,8.48,5.97

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,58.09,53.24,57.89,55.58,50.42,49.31,48.74,49.05,87.05,92.31,94.41,92.49,89.52
Expenses +,55.24,49.00,49.31,48.79,46.51,44.55,43.32,41.16,82.71,85.76,87.52,83.74,85.22
Operating Profit,2.85,4.24,8.58,6.79,3.91,4.76,5.42,7.89,4.34,6.55,6.89,8.75,4.30
OPM %,4.91%,7.96%,14.82%,12.22%,7.75%,9.65%,11.12%,16.09%,4.99%,7.10%,7.30%,9.46%,4.80%
Other Income +,4.89,1.15,0.31,1.24,0.92,0.85,0.98,0.37,-0.24,0.06,-0.11,0.49,0.09
Interest,1.38,0.72,0.65,0.61,0.73,0.79,0.84,0.78,0.79,0.79,0.85,0.96,0.82
Depreciation,1.88,2.86,2.18,2.04,1.95,1.96,1.98,2.00,1.93,1.70,1.61,1.61,1.50
Profit before tax,4.48,1.81,6.06,5.38,2.15,2.86,3.58,5.48,1.38,4.12,4.32,6.67,2.07
Tax %,37.05%,38.12%,16.17%,14.68%,58.60%,24.13%,24.30%,32.85%,2.17%,9.22%,20.37%,44.38%,-81.16%
Net Profit +,2.82,1.12,5.07,4.59,0.89,2.17,2.71,3.68,1.35,3.74,3.44,3.70,3.74
EPS in Rs,0.21,0.08,0.38,0.35,0.07,0.16,0.20,0.28,0.04,0.22,0.21,0.22,0.22
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,0,195,181,217,242,217,234,369
Expenses +,0,188,168,188,218,193,212,342
Operating Profit,0,7,13,28,24,24,22,26
OPM %,19%,4%,7%,13%,10%,11%,10%,7%
Other Income +,0,-1,15,1,5,3,2,1
Interest,0,1,2,2,4,3,3,3
Depreciation,0,1,5,5,8,9,8,6
Profit before tax,0,4,21,22,17,15,13,17
Tax %,0%,1%,6%,7%,27%,24%,25%,15%
Net Profit +,0,4,20,20,12,12,10,15
EPS in Rs,0.02,0.32,1.68,1.52,0.94,0.88,0.69,0.86
Dividend Payout %,0%,0%,0%,0%,0%,6%,0%,6%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,12,12,13,13,13,13,13
Reserves,,45,65,117,143,155,169,190
Borrowings +,,49,50,51,35,43,35,50
Other Liabilities +,,63,47,66,46,25,31,34
Total Liabilities,,169,173,248,237,237,249,288
Fixed Assets +,,41,44,110,106,106,135,136
CWIP,,39,59,10,18,0,0,0
Investments,,0,0,34,36,37,0,0
Other Assets +,,88,70,94,77,93,114,152
Total Assets,,169,173,248,237,237,249,288

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,17,20,24,8,2,17,6
Cash from Investing Activity +,,-66,-27,-22,-13,-2,0,-7
Cash from Financing Activity +,,55,-1,-1,-7,1,-9,6
Net Cash Flow,,6,-9,1,-11,1,8,5
Free Cash Flow,,-0,-7,1,-4,-1,16,-1
CFO/OP,,240%,192%,88%,38%,13%,80%,37%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,77,83,105,91,69,66,40
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,,77,83,105,91,69,66,40
Working Capital Days,,-14,5,14,36,43,77,79
ROCE %,,,8%,15%,12%,9%,8%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.83%,62.83%,62.83%,62.94%,63.08%,63.08%,63.08%,62.81%,62.81%,62.81%,62.81%,62.54%
Public +,37.16%,37.15%,37.17%,37.04%,36.91%,36.91%,36.91%,37.20%,37.19%,37.19%,37.20%,37.44%
No. of Shareholders,"14,073","14,426","15,484","15,468","14,987","15,906","15,720","16,267","16,042","16,616","16,396","17,365"

--- CAGR BOXES ---




