--- ABOUT ---
"Cemindia Projects Ltd. is engaged in the business of providing design, engineering, procurement and construction (EPC) services for infrastructure projects in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"21,508","1,252","1,257",36.6

Book Value,Dividend Yield,ROCE,ROE
140,0.24,32.8,27.8

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,631","1,833","1,610","2,017","2,258","2,381","1,991","2,270","2,532","2,542","2,195","2,315","2,973"
Expenses +,"1,491","1,671","1,452","1,812","2,037","2,160","1,809","2,063","2,277","2,310","1,993","2,094","2,616"
Operating Profit,140,162,158,205,221,221,182,207,255,233,202,222,358
OPM %,9%,9%,10%,10%,10%,9%,9%,9%,10%,9%,9%,10%,12%
Other Income +,7,13,14,15,22,16,23,10,16,22,41,23,92
Interest,51,51,52,58,57,53,57,59,62,50,53,50,61
Depreciation,31,45,53,56,54,49,47,45,51,41,43,43,39
Profit before tax,65,79,68,106,130,135,100,113,157,164,146,152,350
Tax %,42%,34%,21%,26%,31%,26%,28%,23%,28%,16%,26%,27%,31%
Net Profit +,38,52,54,79,90,100,72,87,113,137,108,111,242
EPS in Rs,2.20,3.04,3.12,4.56,5.21,5.83,4.19,5.07,6.60,7.99,6.27,6.46,14.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019 15m,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,652","2,892","2,938","2,061","3,170","2,861","2,728","3,809","5,091","7,718","9,246","10,061"
Expenses +,"1,561","2,700","2,726","1,796","2,843","2,523","2,515","3,516","4,691","6,973","8,386","9,045"
Operating Profit,91,192,212,264,327,338,213,293,400,745,860,"1,016"
OPM %,6%,7%,7%,13%,10%,12%,8%,8%,8%,10%,9%,10%
Other Income +,114,-102,23,7,14,-10,45,45,63,64,78,183
Interest,136,138,89,88,124,130,138,142,165,218,236,215
Depreciation,43,37,46,58,82,137,100,103,114,208,194,166
Profit before tax,27,-85,99,126,134,60,20,94,184,383,508,818
Tax %,28%,-30%,48%,42%,38%,27%,20%,26%,32%,28%,27%,27%
Net Profit +,19,-59,51,73,83,44,16,69,125,274,373,598
EPS in Rs,1.25,-3.82,3.28,4.69,4.77,2.51,0.92,4.01,7.23,15.93,21.70,34.79
Dividend Payout %,0%,0%,9%,9%,8%,12%,13%,11%,10%,11%,9%,9%

--- BALANCE SHEET ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,17,17,17,17,17,17,17,17
Reserves,552,493,536,602,"1,004","1,035","1,049","1,114","1,220","1,477","1,816","2,382"
Borrowings +,765,601,356,489,532,539,458,560,766,889,993,"1,001"
Other Liabilities +,862,"1,336",973,"1,282","1,044","1,533","1,669","1,925","3,013","3,534","3,026","3,686"
Total Liabilities,"2,195","2,445","1,881","2,388","2,597","3,125","3,192","3,616","5,017","5,917","5,852","7,086"
Fixed Assets +,335,349,385,462,529,624,601,655,847,"1,081","1,077","1,168"
CWIP,3,3,6,38,7,5,53,2,117,10,21,22
Investments,0,0,1,1,1,255,194,113,45,5,0,0
Other Assets +,"1,856","2,093","1,489","1,887","2,060","2,241","2,344","2,847","4,007","4,821","4,753","5,897"
Total Assets,"2,195","2,445","1,881","2,388","2,597","3,125","3,192","3,616","5,017","5,917","5,852","7,086"

--- CASH FLOW ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,44,465,326,68,-134,447,191,339,471,704,184,500
Cash from Investing Activity +,-38,-104,-20,-157,-133,-87,-51,-25,-438,-419,-233,-147
Cash from Financing Activity +,-4,-302,-222,40,244,-212,-250,-56,28,-123,-218,-243
Net Cash Flow,1,59,83,-49,-24,147,-110,258,61,162,-267,110
Free Cash Flow,-2,419,231,-103,-259,354,80,244,69,369,12,274
CFO/OP,41%,256%,170%,24%,-24%,145%,100%,136%,143%,105%,34%,66%

--- RATIOS ---
