--- ABOUT ---
"Incorporated in August 2004, Corona Remedies Limited is a pharmaceutical company developing, manufacturing, and marketing products in women’s healthcare, cardiology, pain management, urology, and other therapeutic areas. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,428","1,869","2,101",57.2

Book Value,Dividend Yield,ROCE,ROE
122,0.54,33.2,29.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,314,298,294,347,361,342,353
Expenses +,247,228,239,277,283,259,291
Operating Profit,67,69,54,70,78,83,62
OPM %,21%,23%,18%,20%,22%,24%,18%
Other Income +,2,1,2,2,2,-17,4
Interest,3,2,2,2,2,2,1
Depreciation,9,10,10,9,9,9,10
Profit before tax,57,58,44,61,70,55,55
Tax %,25%,23%,28%,24%,25%,25%,17%
Net Profit +,43,45,32,46,52,41,45
EPS in Rs,7.03,7.35,5.16,7.55,8.55,6.75,7.41
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,884,"1,014","1,196","1,403"
Expenses +,756,859,956,"1,110"
Operating Profit,128,156,241,293
OPM %,14%,15%,20%,21%
Other Income +,7,5,6,-8
Interest,4,14,11,7
Depreciation,20,28,37,38
Profit before tax,111,118,199,240
Tax %,23%,24%,25%,23%
Net Profit +,85,90,149,185
EPS in Rs,13.89,14.80,24.43,30.27
Dividend Payout %,20%,25%,30%,33%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,61,61,61,61
Reserves,347,419,545,686
Borrowings +,28,159,86,165
Other Liabilities +,159,191,237,293
Total Liabilities,595,831,930,"1,205"
Fixed Assets +,185,384,370,580
CWIP,65,121,186,143
Investments,32,26,26,0
Other Assets +,314,301,348,482
Total Assets,595,831,930,"1,205"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,103,157,190,229
Cash from Investing Activity +,-50,-267,-84,-256
Cash from Financing Activity +,-45,99,-107,25
Net Cash Flow,8,-11,0,-1
Free Cash Flow,9,-129,99,56
CFO/OP,100%,112%,97%,95%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36,36,36,38
Inventory Days,182,158,200,175
Days Payable,163,184,221,206
Cash Conversion Cycle,55,10,14,7
Working Capital Days,30,-2,9,-15
ROCE %,,25%,32%,33%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,69.00%,69.00%
FIIs +,1.84%,2.25%
DIIs +,6.77%,7.02%
Public +,22.41%,21.75%
No. of Shareholders,"31,035","19,609"

--- CAGR BOXES ---




