--- ABOUT ---
"Pidilite Industries Limited is a leading manufacturer of adhesives and sealants, construction chemicals, craftsmen products, DIY  products and polymer emulsions in India. Most of the products have been developed through strong in-house R&D. Our brand name Fevicol has become synonymous with adhesives to millions in India and is ranked amongst the most trusted brands in the country. Some of our other major brands are M-Seal, Fevikwik, Fevistik, Roff, Dr. Fixit, Fevicryl, Motomax, Hobby Ideas, Araldite. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,60,798","1,580","1,595 / 1,259",65.4

Book Value,Dividend Yield,ROCE,ROE
106,0.63,31.0,23.9

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,689","3,275","3,076","3,130","2,902","3,395","3,235","3,369","3,141","3,753","3,554","3,710","3,583"
Expenses +,"2,232","2,569","2,398","2,388","2,327","2,583","2,467","2,571","2,509","2,812","2,704","2,816","2,753"
Operating Profit,458,706,678,742,575,812,768,798,632,941,850,894,831
OPM %,17%,22%,22%,24%,20%,24%,24%,24%,20%,25%,24%,24%,23%
Other Income +,23,23,32,37,-23,54,57,56,55,86,50,60,57
Interest,12,12,13,13,13,12,12,12,14,14,13,13,14
Depreciation,76,73,75,79,113,84,88,90,97,97,100,101,97
Profit before tax,393,644,622,687,426,770,725,752,576,916,787,840,777
Tax %,27%,26%,26%,26%,29%,26%,25%,26%,26%,26%,26%,26%,25%
Net Profit +,286,474,459,511,304,571,540,557,428,678,585,624,584
EPS in Rs,2.78,4.60,4.43,5.02,2.96,5.57,5.26,5.43,4.15,6.61,5.69,6.07,5.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,844","5,361","5,617","6,078","7,078","7,294","7,293","9,921","11,799","12,383","13,140","14,601"
Expenses +,"4,073","4,188","4,355","4,737","5,707","5,718","5,606","8,065","9,813","9,675","10,130","11,084"
Operating Profit,771,"1,173","1,262","1,341","1,371","1,576","1,686","1,856","1,986","2,708","3,011","3,517"
OPM %,16%,22%,22%,22%,19%,22%,23%,19%,17%,22%,23%,24%
Other Income +,40,81,115,153,130,97,74,39,55,63,221,252
Interest,16,13,14,16,26,34,37,42,48,51,50,54
Depreciation,118,100,115,120,133,170,201,240,270,341,358,395
Profit before tax,678,"1,141","1,248","1,359","1,342","1,470","1,522","1,614","1,723","2,379","2,823","3,320"
Tax %,25%,29%,31%,29%,31%,24%,26%,25%,25%,27%,26%,26%
Net Profit +,514,807,863,966,928,"1,122","1,126","1,207","1,289","1,747","2,096","2,471"
EPS in Rs,5.00,7.83,8.39,9.48,9.10,10.99,11.13,11.88,12.52,17.00,20.41,24.06
Dividend Payout %,29%,26%,28%,32%,36%,32%,38%,42%,44%,47%,49%,89%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,51,51,51,51,51,51,51,51,51,51,51,102
Reserves,"2,219","2,587","3,420","3,523","4,097","4,405","5,542","6,353","7,161","8,356","9,704","10,730"
Borrowings +,58,80,98,125,113,288,331,416,391,382,454,417
Other Liabilities +,986,996,"1,202","1,500","1,643","1,779","2,890","2,675","2,902","3,286","3,775","4,184"
