--- ABOUT ---
"Incorporated in 1979, Sterling Tools Ltd manufactures Fasteners & MCUs [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
892,246,384,37.1

Book Value,Dividend Yield,ROCE,ROE
145,1.02,7.23,4.68

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,211.67,220.60,210.17,231.95,269.25,281.68,283.98,260.88,199.76,192.08,207.91,205.85,221.97
Expenses +,189.26,195.16,184.90,205.92,238.39,249.66,251.76,234.06,181.22,170.05,184.30,183.30,214.01
Operating Profit,22.41,25.44,25.27,26.03,30.86,32.02,32.22,26.82,18.54,22.03,23.61,22.55,7.96
OPM %,10.59%,11.53%,12.02%,11.22%,11.46%,11.37%,11.35%,10.28%,9.28%,11.47%,11.36%,10.95%,3.59%
Other Income +,-2.29,2.02,1.96,2.02,0.94,1.98,1.92,1.81,5.93,2.88,12.49,-5.70,11.53
Interest,2.23,2.46,2.47,2.14,2.22,2.39,2.41,2.42,2.56,2.62,2.41,2.39,2.39
Depreciation,7.91,8.06,8.34,8.39,8.27,7.68,8.67,8.45,10.01,10.01,9.77,9.99,10.12
Profit before tax,9.98,16.94,16.42,17.52,21.31,23.93,23.06,17.76,11.90,12.28,23.92,4.47,6.98
Tax %,22.04%,22.90%,24.06%,22.49%,23.79%,23.07%,24.20%,23.42%,25.88%,26.71%,28.18%,64.88%,77.08%
Net Profit +,7.78,13.07,12.46,13.58,16.25,18.41,17.47,13.60,8.81,8.99,17.19,1.56,1.59
EPS in Rs,2.16,3.63,3.46,3.77,4.51,5.11,4.85,3.78,2.43,2.48,4.75,0.43,0.44
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,372,371,453,512,364,355,510,772,932,"1,026",828
Expenses +,311,295,362,426,304,293,444,674,824,916,752
Operating Profit,61,76,91,86,60,62,66,98,108,110,76
OPM %,16%,20%,20%,17%,17%,17%,13%,13%,12%,11%,9%
Other Income +,1,7,6,7,6,2,3,6,7,11,21
Interest,6,6,4,4,6,8,7,9,9,10,10
Depreciation,13,17,18,19,24,26,27,32,33,35,40
Profit before tax,43,60,75,70,36,30,35,63,72,77,48
Tax %,35%,35%,35%,35%,15%,23%,27%,24%,23%,24%,38%
Net Profit +,28,39,49,45,30,24,26,48,55,58,29
EPS in Rs,8.20,11.43,13.62,12.52,8.47,6.53,7.09,13.29,15.37,16.11,8.07
Dividend Payout %,37%,17%,7%,16%,24%,15%,14%,15%,13%,12%,34%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,7,7,7,7,7,7,7,7,7
Reserves,122,153,237,273,299,324,349,393,440,492,519
Borrowings +,69,40,34,99,75,105,126,133,118,155,147
Other Liabilities +,48,67,72,78,63,79,83,122,145,132,148
Total Liabilities,246,267,351,458,444,516,565,656,710,786,821
Fixed Assets +,139,165,159,192,263,257,280,275,278,319,326
CWIP,1,0,10,47,1,0,1,11,7,13,22
Investments,0,1,56,56,17,26,23,20,12,15,0
Other Assets +,107,101,126,163,163,233,260,349,414,439,473
Total Assets,246,267,351,458,444,516,565,656,710,786,821

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,56,59,47,43,53,16,25,63,102,124,56
Cash from Investing Activity +,-26,-25,-75,-92,2,-49,-39,-53,-49,-125,-5
Cash from Financing Activity +,-21,-42,26,52,-42,23,10,-6,-33,0,-26
Net Cash Flow,9,-8,-1,3,12,-11,-4,4,20,-1,25
