--- ABOUT ---
"In 1995, the group was restructured and thus was formed Cadila Healthcare under the aegis of the Zydus group. From a humble turnover Rs. 250 crores in 1995 the group witnessed a significant financial growth and registered a turnover of over Rs. 14,253 crores in FY20. Adhering to its brand promise of being dedicated to life in all its dimensions, Zydus continues to innovate with an unswerving focus to address the unmet healthcare needs. Simultaneously it rededicates itself to its mission of creating healthier, happier communities across the globe"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,07,748","1,071","1,120",19.9

Book Value,Dividend Yield,ROCE,ROE
269,0.09,21.2,21.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"5,011","5,140","4,369","4,505","5,534","6,208","5,237","5,269","6,528","6,574","6,123","6,864","7,587"
Expenses +,"3,755","3,634","3,223","3,403","3,903","4,124","3,776","3,882","4,402","4,485","4,107","5,048","5,033"
Operating Profit,"1,256","1,505","1,146","1,102","1,630","2,084","1,461","1,388","2,126","2,088","2,016","1,816","2,554"
OPM %,25%,29%,26%,24%,29%,34%,28%,26%,33%,32%,33%,26%,34%
Other Income +,-566,21,53,60,160,63,68,57,-139,155,75,26,-263
Interest,28,18,9,20,35,32,25,32,77,85,101,130,123
Depreciation,179,180,184,195,205,215,234,229,238,238,302,360,508
Profit before tax,484,"1,328","1,006",947,"1,550","1,900","1,271","1,184","1,672","1,921","1,687","1,353","1,660"
Tax %,28%,16%,22%,23%,21%,23%,29%,15%,25%,23%,27%,29%,19%
Net Profit +,358,"1,134",803,790,"1,246","1,482",920,"1,026","1,244","1,521","1,239","1,023","1,341"
EPS in Rs,2.93,10.74,7.91,7.80,11.75,14.11,9.06,10.17,11.64,14.58,12.51,10.36,12.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"8,651","9,427","9,376","11,905","13,166","14,253","15,102","15,265","17,237","19,547","23,242","27,148"
Expenses +,"6,896","7,095","7,474","9,074","10,174","11,455","11,758","11,923","13,378","14,163","16,183","18,673"
Operating Profit,"1,756","2,332","1,902","2,831","2,991","2,798","3,344","3,342","3,860","5,384","7,058","8,475"
OPM %,20%,25%,20%,24%,23%,20%,22%,22%,22%,28%,30%,31%
Other Income +,45,112,127,111,183,-264,-171,"2,581",-422,293,50,-7
Interest,68,53,45,91,194,342,164,127,130,81,166,439
Depreciation,287,292,373,539,599,696,725,713,723,764,916,"1,408"
Profit before tax,"1,446","2,099","1,612","2,312","2,382","1,495","2,285","5,084","2,585","4,832","6,027","6,621"
Tax %,18%,8%,8%,24%,22%,21%,6%,10%,23%,20%,23%,24%
Net Profit +,"1,188","1,964","1,517","1,810","1,899","1,204","2,185","4,618","2,092","3,973","4,673","5,124"
EPS in Rs,11.24,18.89,14.53,17.35,18.06,11.49,20.84,43.83,19.37,38.36,44.97,50.09
Dividend Payout %,21%,17%,22%,20%,19%,30%,17%,6%,31%,8%,24%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,102,102,102,102,102,102,102,102,101,101,101,101
Reserves,"4,149","5,597","6,858","8,642","10,284","10,273","12,890","16,897","17,415","19,729","23,852","27,011"
Borrowings +,"2,651","2,442","5,207","5,407","7,899","7,986","4,584","4,221","1,195",804,"3,213","12,496"
Other Liabilities +,"2,144","2,208","2,937","3,632","4,945","5,115","6,189","6,421","6,851","8,201","9,523","12,799"
