--- ABOUT ---
"Bikaji Foods International Limited is one of India's largest fast-moving consumer goods (""FMCG"") brands. The company's product range includes six principal categories: bhujia, namkeen, packaged sweets, papad, western snacks as well as other snacks which primarily include gift packs (assortment), frozen food, mathri range, and cookies. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"16,554",660,821,63.3

Book Value,Dividend Yield,ROCE,ROE
64.1,0.19,19.7,17.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,462,482,609,624,614,572,721,715,611,653,830,790,721
Expenses +,400,416,521,549,453,480,614,659,537,556,702,692,633
Operating Profit,62,66,88,75,161,92,107,55,74,96,128,98,88
OPM %,13%,14%,14%,12%,26%,16%,15%,8%,12%,15%,15%,12%,12%
Other Income +,5,6,6,6,12,7,8,8,10,10,8,11,18
Interest,3,2,3,3,3,3,3,4,5,5,5,4,4
Depreciation,12,13,16,16,15,18,19,21,25,23,24,24,24
Profit before tax,51,56,75,62,155,78,93,39,55,79,107,82,77
Tax %,26%,26%,20%,26%,25%,26%,26%,28%,27%,26%,28%,24%,28%
Net Profit +,38,41,60,46,116,58,69,28,40,59,78,62,56
EPS in Rs,1.51,1.67,2.45,1.86,4.64,2.33,2.76,1.14,1.78,2.39,3.18,2.48,2.25
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,075","1,311","1,611","1,966","2,329","2,622","2,994"
Expenses +,979,"1,166","1,471","1,752","1,937","2,292","2,583"
Operating Profit,96,145,140,214,392,330,411
OPM %,9%,11%,9%,11%,17%,13%,14%
Other Income +,8,11,10,23,27,32,47
Interest,6,3,7,11,11,16,18
Depreciation,34,33,38,49,60,82,95
Profit before tax,64,120,105,177,348,264,345
Tax %,11%,25%,28%,23%,24%,27%,26%
Net Profit +,56,90,76,136,263,194,254
EPS in Rs,23.18,37.10,3.12,5.50,10.61,8.01,10.30
Dividend Payout %,9%,5%,3%,14%,9%,12%,12%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,25,25,25,25,25
Reserves,505,581,796,931,"1,193","1,358","1,582"
Borrowings +,54,87,160,170,166,231,299
Other Liabilities +,94,124,122,146,145,313,333
Total Liabilities,677,817,"1,102","1,271","1,530","1,927","2,240"
Fixed Assets +,407,423,511,661,812,986,"1,034"
CWIP,3,36,49,70,12,98,150
Investments,36,69,126,20,31,56,44
Other Assets +,230,290,416,520,674,787,"1,011"
Total Assets,677,817,"1,102","1,271","1,530","1,927","2,240"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,55,117,57,171,245,193,304
Cash from Investing Activity +,-58,-114,-232,-123,-199,-122,-289
Cash from Financing Activity +,-26,-9,169,-5,-54,-56,0
Net Cash Flow,-29,-6,-5,43,-8,16,15
Free Cash Flow,14,43,-50,86,118,72,127
CFO/OP,69%,93%,70%,102%,82%,78%,97%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,14,13,17,15,16,14,13
Inventory Days,22,26,27,21,20,22,22
Days Payable,8,20,16,14,14,14,12
Cash Conversion Cycle,27,20,28,21,22,22,23
Working Capital Days,7,-4,14,19,16,28,24
ROCE %,,19%,13%,18%,29%,18%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.37%,75.21%,75.18%,75.10%,75.10%,74.98%,74.98%,74.92%,74.92%,73.92%,73.92%,73.88%
FIIs +,5.46%,7.02%,6.89%,7.66%,7.51%,7.48%,7.70%,7.33%,6.64%,6.34%,4.92%,4.68%
DIIs +,12.42%,13.55%,13.96%,13.51%,13.32%,12.78%,11.96%,12.21%,13.37%,14.77%,16.62%,17.28%
Public +,6.74%,4.22%,3.99%,3.72%,4.06%,4.76%,5.38%,5.57%,5.08%,4.97%,4.54%,4.15%
No. of Shareholders,"75,172","85,411","86,930","85,927","92,097","1,09,780","1,42,514","1,44,000","1,33,515","1,32,115","1,19,954","1,14,783"

--- CAGR BOXES ---




