--- ABOUT ---
"Tata Motors Group is a global automobile manufacturer. Part of the multi-national conglomerate, the Tata group, it offers a wide and diverse portfolio of cars, sports utility vehicles, etc. It has operations in India, the UK, South Korea, South Africa, China, Brazil, Austria and Slovakia through a strong global network of subsidiaries, associate companies and Joint Ventures (JVs), including Jaguar Land Rover in the UK and Tata Daewoo in South Korea. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,32,389",360,447,20.8

Book Value,Dividend Yield,ROCE,ROE
304,0.83,2.73,5.58

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"105,932","102,236","105,129","110,577","119,033","107,102","83,656","94,472","98,377","87,677","72,349","70,108","105,447"
Expenses +,"92,818","89,019","91,362","95,159","102,348","91,854","73,742","84,070","83,990","79,515","73,753","69,229","94,188"
Operating Profit,"13,114","13,217","13,767","15,418","16,685","15,248","9,914","10,402","14,387","8,162","-1,404",879,"11,259"
OPM %,12%,13%,13%,14%,14%,14%,12%,11%,15%,9%,-2%,1%,11%
Other Income +,"1,453",895,"1,557","1,604","1,412","6,553","1,920","2,730","2,361","2,690","81,507",39,"1,877"
Interest,"2,642","2,615","2,652","2,485","1,645","1,471","1,094",843,828,692,686,682,767
Depreciation,"7,050","6,633","6,637","6,850","7,143","6,565","5,467","4,863","4,717","4,851","4,871","4,969","5,092"
Profit before tax,"4,875","4,864","6,035","7,687","9,309","13,765","5,273","7,426","11,203","5,309","74,546","-4,733","7,277"
Tax %,-13%,32%,36%,7%,-88%,23%,33%,26%,24%,25%,-2%,-26%,19%
Net Profit +,"5,496","3,301","3,832","7,145","17,528","10,587","3,521","5,484","8,556","4,003","76,248","-3,483","5,878"
EPS in Rs,16.28,9.64,11.33,21.14,52.37,31.63,9.36,14.69,23.01,10.66,206.85,-9.47,15.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"263,159","273,046","269,693","291,550","301,938","261,068","249,795","278,454","345,967","434,016","439,695","335,582"
Expenses +,"223,920","234,650","240,104","260,093","277,274","243,081","217,507","253,734","314,151","376,207","383,557","316,685"
Operating Profit,"39,239","38,395","29,589","31,458","24,664","17,987","32,287","24,720","31,816","57,809","56,138","18,897"
OPM %,15%,14%,11%,11%,8%,7%,13%,9%,9%,13%,13%,6%
Other Income +,714,"-2,670","1,869","5,933","-26,686",102,"-11,118","2,424","6,664","4,807","10,852","86,113"
Interest,"4,861","4,889","4,238","4,682","5,759","7,243","8,097","9,312","10,225","7,594","5,083","2,827"
Depreciation,"13,389","16,711","17,905","21,554","23,591","21,425","23,547","24,836","24,860","27,239","23,256","19,784"
Profit before tax,"21,703","14,126","9,315","11,155","-31,371","-10,580","-10,474","-7,003","3,394","27,783","38,651","82,399"
Tax %,35%,21%,35%,39%,-8%,4%,24%,60%,21%,-14%,27%,-0%
Net Profit +,"14,073","11,678","7,557","9,091","-28,724","-11,975","-13,395","-11,309","2,690","31,807","28,149","82,645"
EPS in Rs,48.44,40.11,25.82,31.13,-99.84,-39.08,-40.51,-34.45,7.27,94.47,75.60,223.74
Dividend Payout %,0%,1%,0%,0%,0%,0%,0%,0%,32%,7%,8%,1%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,644,679,679,679,679,720,766,766,766,767,736,737
Reserves,"55,618","78,273","57,383","94,749","59,500","62,359","54,481","43,795","44,556","84,151","115,408","111,331"
Borrowings +,"73,610","69,360","78,604","88,950","106,175","124,788","142,131","146,449","134,113","107,264","71,540","79,109"
Other Liabilities +,"107,442","114,872","135,914","142,813","139,349","132,313","144,193","138,051","155,239","177,339","189,289","190,745"
