--- ABOUT ---
"Incorporated in 1994, Suraj Ltd manufactures tube and tube fittings of basic iron and steel [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
416,227,424,61.7

Book Value,Dividend Yield,ROCE,ROE
75.0,0.66,7.11,4.98

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,82.35,76.49,84.92,93.09,76.17,54.74,56.64,63.61,58.75,50.34,50.19,61.88,43.43
Expenses +,62.84,67.24,77.44,81.60,64.92,45.71,48.31,50.51,62.96,45.50,46.52,56.70,42.30
Operating Profit,19.51,9.25,7.48,11.49,11.25,9.03,8.33,13.10,-4.21,4.84,3.67,5.18,1.13
OPM %,23.69%,12.09%,8.81%,12.34%,14.77%,16.50%,14.71%,20.59%,-7.17%,9.61%,7.31%,8.37%,2.60%
Other Income +,1.90,0.38,1.41,1.07,1.45,1.98,3.49,0.73,1.66,2.57,1.51,0.65,2.83
Interest,1.29,0.66,0.85,0.78,1.38,0.73,0.80,1.18,2.02,1.21,0.83,1.13,1.20
Depreciation,2.11,2.16,2.24,2.40,2.58,2.70,2.55,2.77,2.88,2.83,2.88,2.74,-1.16
Profit before tax,18.01,6.81,5.80,9.38,8.74,7.58,8.47,9.88,-7.45,3.37,1.47,1.96,3.92
Tax %,29.65%,29.22%,27.07%,28.25%,30.55%,24.80%,23.73%,28.64%,-20.54%,18.69%,43.54%,30.10%,35.97%
Net Profit +,12.67,4.81,4.23,6.74,6.07,5.70,6.47,7.06,-5.92,2.74,0.83,1.38,2.52
EPS in Rs,6.90,2.62,2.30,3.67,3.31,3.10,3.52,3.84,-3.22,1.49,0.45,0.75,1.37
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,217,207,182,367,331,234,206
Expenses +,196,191,164,332,291,205,190
Operating Profit,21,17,18,35,39,28,16
OPM %,10%,8%,10%,10%,12%,12%,8%
Other Income +,1,0,0,6,4,6,6
Interest,7,10,10,4,4,5,4
Depreciation,3,6,7,8,9,11,7
Profit before tax,12,1,1,29,31,18,11
Tax %,34%,62%,-48%,30%,30%,28%,30%
Net Profit +,8,0,1,20,22,13,7
EPS in Rs,4.78,0.19,0.73,10.96,11.72,7.24,4.07
Dividend Payout %,10%,0%,0%,0%,13%,21%,37%

--- BALANCE SHEET ---
,Mar 2007,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,19,19,18,18,18,18
Reserves,30,66,68,85,104,115,119
Borrowings +,68,112,99,22,34,64,60
Other Liabilities +,31,16,12,20,29,25,28
Total Liabilities,135,213,198,146,186,222,226
Fixed Assets +,45,61,57,60,85,89,89
CWIP,0,0,0,0,0,0,0
Investments,0,0,0,0,14,15,15
Other Assets +,90,153,141,86,87,118,122
Total Assets,135,213,198,146,186,222,226

--- CASH FLOW ---
,Mar 2007,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-18,14,27,45,41,-9,17
Cash from Investing Activity +,-17,-1,-2,-19,-47,-14,-6
Cash from Financing Activity +,38,-14,-24,-26,6,23,-11
Net Cash Flow,3,-1,1,-0,-0,-0,-0
Free Cash Flow,-35,12,24,26,7,-23,11
CFO/OP,-72%,90%,156%,151%,136%,-20%,106%

--- RATIOS ---
,Mar 2007,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,32,74,61,33,38,51,65
Inventory Days,117,220,231,38,39,133,178
Days Payable,39,20,15,7,22,31,48
Cash Conversion Cycle,110,273,277,64,55,153,195
Working Capital Days,96,41,54,43,11,31,52
ROCE %,,,6%,,24%,13%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%
Government +,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.00%,0.00%,0.00%,0.00%
Public +,24.62%,24.62%,24.62%,24.62%,24.63%,24.61%,24.61%,24.62%,24.99%,24.98%,24.99%,25.00%
No. of Shareholders,"2,748","2,494","2,733","3,278","3,141","3,192","2,991","2,880","2,838","2,795","2,812","2,783"

--- CAGR BOXES ---




