--- ABOUT ---
"Epigral Limited, formerly known as Meghmani Finechem Ltd, incorporated in 2007, is a leading integrated manufacturer of chemicals. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,865","1,128","2,114",14.8

Book Value,Dividend Yield,ROCE,ROE
515,0.44,15.5,16.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,562,455,478,472,525,651,626,645,628,607,587,597,736
Expenses +,408,360,370,349,369,475,448,463,454,443,455,494,569
Operating Profit,155,95,108,123,155,176,178,183,173,163,132,103,168
OPM %,28%,21%,23%,26%,30%,27%,28%,28%,28%,27%,22%,17%,23%
Other Income +,5,2,1,2,2,2,6,4,4,9,2,6,-1
Interest,19,18,21,20,14,14,27,-0,12,23,22,11,16
Depreciation,30,31,32,31,30,33,32,33,34,42,42,43,42
Profit before tax,110,47,56,74,113,131,125,154,131,107,70,55,110
Tax %,30%,34%,32%,34%,32%,34%,35%,33%,34%,-50%,26%,28%,26%
Net Profit +,77,32,38,49,77,86,81,104,87,161,51,39,81
EPS in Rs,18.47,7.58,9.14,11.81,18.60,20.67,19.57,24.02,20.14,37.25,11.87,9.07,18.76
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,829,"1,551","2,188","1,929","2,550","2,527"
Expenses +,567,"1,041","1,499","1,448","1,839","1,961"
Operating Profit,261,509,689,481,711,566
OPM %,32%,33%,31%,25%,28%,22%
Other Income +,2,4,8,7,16,15
Interest,29,44,66,73,53,72
Depreciation,74,86,109,124,133,168
Profit before tax,161,383,522,291,541,341
Tax %,37%,34%,32%,33%,34%,3%
Net Profit +,101,253,353,196,358,332
EPS in Rs,24.48,60.84,85.03,47.14,82.91,76.95
Dividend Payout %,0%,0%,6%,11%,7%,6%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,42,42,42,43,43
Reserves,432,684,"1,028","1,213","1,861","2,178"
Borrowings +,753,993,879,964,593,572
Other Liabilities +,222,405,484,576,655,712
Total Liabilities,"1,449","2,124","2,432","2,794","3,152","3,505"
Fixed Assets +,"1,102","1,068","1,804","1,767","2,238","2,117"
CWIP,126,589,158,483,64,451
Investments,0,0,21,21,98,23
Other Assets +,221,467,450,524,752,915
Total Assets,"1,449","2,124","2,432","2,794","3,152","3,505"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,229,284,626,398,441,436
Cash from Investing Activity +,-197,-455,-437,-401,-262,-355
Cash from Financing Activity +,-32,195,-200,-8,-164,-94
Net Cash Flow,1,24,-11,-11,15,-14
Free Cash Flow,32,-172,210,-1,254,50
CFO/OP,99%,68%,106%,93%,78%,90%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,52,60,28,34,33,60
Inventory Days,51,74,69,90,105,89
Days Payable,69,42,36,63,50,66
Cash Conversion Cycle,34,92,61,61,88,83
Working Capital Days,-92,-26,-41,-54,26,16
ROCE %,,29%,32%,17%,25%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.37%,71.38%,71.38%,71.49%,71.58%,71.58%,68.94%,68.95%,68.83%,68.83%,68.83%,68.83%
FIIs +,1.16%,1.14%,1.17%,1.36%,1.46%,2.10%,3.01%,3.01%,3.06%,2.71%,2.36%,1.54%
DIIs +,0.04%,0.04%,0.05%,0.02%,0.18%,1.17%,4.31%,4.66%,4.78%,4.93%,5.13%,4.90%
Government +,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Public +,27.39%,27.40%,27.37%,27.10%,26.75%,25.12%,23.71%,23.34%,23.30%,23.52%,23.67%,24.71%
No. of Shareholders,"95,833","95,742","92,959","88,870","85,761","83,176","81,697","80,878","79,951","78,605","77,562","77,583"

--- CAGR BOXES ---




