--- ABOUT ---
"Incorporated in 1999, Speciality Restaurant Ltd is in the business of operating restaurant outlets / sweet shops [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
571,118,154,23.4

Book Value,Dividend Yield,ROCE,ROE
71.8,0.84,9.14,7.24

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,87.51,94.65,97.88,115.98,96.19,103.11,104.38,125.75,103.01,108.77,116.44,134.84,116.42
Expenses +,65.45,77.65,82.21,92.45,82.29,87.17,89.07,99.64,87.77,90.91,97.16,106.40,98.89
Operating Profit,22.06,17.00,15.67,23.53,13.90,15.94,15.31,26.11,15.24,17.86,19.28,28.44,17.53
OPM %,25.21%,17.96%,16.01%,20.29%,14.45%,15.46%,14.67%,20.76%,14.79%,16.42%,16.56%,21.09%,15.06%
Other Income +,10.54,3.95,6.34,6.63,4.74,8.41,3.47,3.38,3.98,5.74,3.55,1.58,3.80
Interest,3.52,3.59,3.80,3.81,3.40,3.53,3.36,3.70,3.64,3.74,3.65,3.66,3.50
Depreciation,8.81,9.61,10.15,10.78,11.36,11.45,11.80,12.73,13.02,13.40,13.64,14.28,14.69
Profit before tax,20.27,7.75,8.06,15.57,3.88,9.37,3.62,13.06,2.56,6.46,5.54,12.08,3.14
Tax %,-172.87%,13.55%,28.54%,8.99%,12.89%,18.46%,21.27%,28.33%,17.19%,20.74%,19.49%,31.46%,9.24%
Net Profit +,55.31,6.70,5.76,14.17,3.38,7.64,2.85,9.36,2.12,5.12,4.47,8.29,2.85
EPS in Rs,11.78,1.41,1.21,2.88,0.64,1.53,0.56,1.92,0.50,1.12,0.96,1.76,0.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Inventory Days,26,27,22,24,47,25,22,23,23,27
Days Payable,137,162,139,109,266,145,102,84,81,86
Cash Conversion Cycle,-105,-127,-111,-83,-212,-112,-74,-54,-53,-53
Working Capital Days,-19,-24,-20,-28,-96,-61,-41,-38,-40,89
ROCE %,,-9%,-4%,2%,-8%,8%,18%,10%,8%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.84%,50.84%,50.28%,50.24%,50.24%,50.24%,50.10%,50.10%,50.10%,50.20%,50.31%,50.71%
FIIs +,0.47%,0.47%,0.47%,0.21%,0.19%,0.33%,0.23%,0.39%,0.40%,0.47%,0.57%,0.48%
DIIs +,1.65%,1.65%,1.60%,1.59%,1.59%,1.59%,1.59%,1.59%,1.59%,1.59%,0.16%,0.00%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%
Public +,47.03%,47.05%,47.66%,47.97%,47.99%,47.85%,47.92%,47.77%,47.76%,47.58%,48.82%,48.64%
No. of Shareholders,"23,232","23,080","23,194","22,029","22,938","23,501","23,201","22,839","22,789","22,939","21,909","21,379"

--- CAGR BOXES ---




