--- ABOUT ---
"Himatsingka Seide Ltd. is a vertically integrated global textile major that designs, develops, manufactures and distributes a suite of home textile products. It has installed capacities for manufacturing bedding and bath products, drapery and upholstery fabrics, and fine-count cotton yarn which are among the largest in the world. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,055",83.9,165,17.0

Book Value,Dividend Yield,ROCE,ROE
170,0.30,8.80,2.97

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,689.65,682.14,739.14,723.31,696.87,735.46,694.33,691.50,656.91,656.94,629.57,611.37,617.22
Expenses +,567.58,534.45,591.85,566.71,552.26,589.18,555.76,579.98,539.13,536.27,530.50,516.29,567.51
Operating Profit,122.07,147.69,147.29,156.60,144.61,146.28,138.57,111.52,117.78,120.67,99.07,95.08,49.71
OPM %,17.70%,21.65%,19.93%,21.65%,20.75%,19.89%,19.96%,16.13%,17.93%,18.37%,15.74%,15.55%,8.05%
Other Income +,2.23,4.40,9.01,1.79,5.94,2.62,5.98,31.39,-69.53,4.08,77.70,25.89,104.47
Interest,48.43,66.37,72.39,74.85,82.85,81.83,80.74,78.02,75.11,72.08,75.45,75.14,67.91
Depreciation,40.00,41.35,40.85,38.26,37.64,37.64,38.06,38.15,37.58,38.35,37.32,34.63,53.92
Profit before tax,35.87,44.37,43.06,45.28,30.06,29.43,25.75,26.74,-64.44,14.32,64.00,11.20,32.35
Tax %,37.69%,34.30%,33.16%,31.18%,21.02%,30.14%,15.73%,17.91%,-118.73%,25.35%,34.08%,31.96%,94.65%
Net Profit +,22.35,29.15,28.78,31.16,23.74,20.56,21.70,21.84,11.94,10.90,42.00,7.66,1.41
EPS in Rs,2.27,2.96,2.92,3.16,2.41,2.09,2.20,1.74,0.95,0.87,3.34,0.61,0.11
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,943","1,890","2,138","2,249","2,618","2,358","2,258","3,184","2,678","2,841","2,778","2,515"
Expenses +,"1,741","1,590","1,758","1,797","2,074","1,940","1,969","2,652","2,407","2,240","2,264","2,151"
Operating Profit,202,300,381,452,544,418,289,532,271,602,514,365
OPM %,10%,16%,18%,20%,21%,18%,13%,17%,10%,21%,19%,14%
Other Income +,21,16,13,17,36,-12,14,18,75,15,-30,212
Interest,87,95,96,107,163,195,177,181,257,296,316,291
Depreciation,45,67,58,72,109,126,152,158,164,158,151,164
Profit before tax,91,154,239,290,308,85,-26,210,-75,163,17,122
Tax %,-3%,19%,24%,31%,36%,84%,101%,33%,-15%,31%,-336%,49%
Net Profit +,94,125,182,202,197,13,-53,141,-64,113,76,62
EPS in Rs,9.69,12.72,18.50,20.48,19.99,1.35,-5.42,14.30,-6.51,11.46,6.05,4.93
Dividend Payout %,21%,20%,14%,12%,25%,37%,-9%,4%,0%,2%,4%,5%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,49,49,49,49,49,49,49,49,49,49,63,63
Reserves,756,840,"1,018","1,178","1,372","1,311","1,266","1,420","1,400","1,510","1,970","2,078"
Borrowings +,756,"1,007","1,407","2,255","2,790","2,963","2,593","2,922","2,806","2,898","2,567","2,636"
Other Liabilities +,369,300,418,728,974,932,"1,183","1,236","1,262","1,321","1,041","1,125"
Total Liabilities,"1,930","2,196","2,892","4,211","5,185","5,255","5,091","5,627","5,517","5,777","5,641","5,901"
Fixed Assets +,"1,058","1,012","1,271","2,235","2,382","3,157","3,184","3,176","3,084","2,947","2,518","2,519"
CWIP,46,44,113,32,634,173,142,44,30,32,13,19
Investments,0,48,0,126,123,29,18,13,10,2,11,11
Other Assets +,826,"1,094","1,508","1,818","2,046","1,896","1,747","2,394","2,394","2,796","3,099","3,351"
Total Assets,"1,930","2,196","2,892","4,211","5,185","5,255","5,091","5,627","5,517","5,777","5,641","5,901"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,228,181,186,19,478,434,576,68,354,322,235,0
Cash from Investing Activity +,-71,-121,-544,-642,-743,-206,-12,-141,-10,-118,58,0
Cash from Financing Activity +,-158,26,296,673,322,-348,-544,121,-401,-228,-258,0
Net Cash Flow,-0,86,-62,50,57,-120,20,48,-57,-23,35,0
Free Cash Flow,180,53,-222,-509,-225,194,449,-80,344,274,212,0
CFO/OP,120%,71%,64%,15%,100%,118%,207%,17%,148%,54%,52%,0%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10,12,12,16,23,18,54,46,91,116,143,173
Inventory Days,162,190,224,305,333,351,235,251,209,293,263,323
Days Payable,80,64,78,108,125,120,180,157,193,252,222,224
Cash Conversion Cycle,92,138,158,213,231,249,108,140,108,157,184,272
Working Capital Days,-6,5,4,-3,-17,-38,-67,3,4,46,97,125
ROCE %,11%,14%,15%,13%,12%,8%,4%,9%,4%,11%,9%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,47.57%,47.57%,47.57%,47.57%,47.57%,47.57%,37.24%,37.24%,37.48%,37.48%,37.48%,37.48%
FIIs +,2.69%,3.91%,4.03%,3.99%,3.75%,3.32%,12.06%,10.82%,10.71%,10.80%,10.69%,11.10%
DIIs +,2.42%,1.24%,1.05%,0.99%,0.99%,0.41%,8.36%,8.53%,7.68%,7.12%,7.12%,5.65%
Public +,47.32%,47.31%,47.36%,47.45%,47.70%,48.69%,42.34%,43.41%,44.13%,44.59%,44.70%,45.77%
No. of Shareholders,"49,392","46,198","52,806","52,945","52,643","56,043","64,840","69,361","69,408","70,014","66,435","65,440"

--- CAGR BOXES ---




