--- ABOUT ---
"Incorporated in 1992, Creative Newtech Ltd is a Distributor of I.T., Imaging, Lifestyle and Security of branded products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,131",753,799,16.1

Book Value,Dividend Yield,ROCE,ROE
242,0.07,18.8,21.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,397,468,430,511,304,301,411,659,404,393,656,914,741
Expenses +,391,461,418,500,292,293,399,647,390,382,633,888,711
Operating Profit,6,7,12,11,12,8,12,12,15,11,23,26,30
OPM %,1%,1%,3%,2%,4%,3%,3%,2%,4%,3%,3%,3%,4%
Other Income +,6,3,3,6,16,4,5,12,4,4,4,6,-0
Interest,3,2,2,2,2,1,2,4,3,3,4,6,7
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,9,7,12,13,25,11,15,20,16,12,22,26,22
Tax %,25%,18%,15%,14%,19%,16%,12%,14%,13%,14%,13%,12%,18%
Net Profit +,6,6,10,12,20,9,13,17,14,10,19,23,18
EPS in Rs,5.12,4.67,7.44,8.22,14.43,6.44,9.28,11.99,9.14,6.78,12.62,15.56,11.85
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,368,457,520,947,"1,392","1,721","1,783","2,705"
Expenses +,357,442,507,915,"1,357","1,672","1,728","2,614"
Operating Profit,10,15,13,32,36,49,54,91
OPM %,3%,3%,2%,3%,3%,3%,3%,3%
Other Income +,3,1,6,1,10,20,19,13
Interest,5,5,5,6,9,10,10,21
Depreciation,1,1,1,1,2,1,1,2
Profit before tax,8,11,13,25,34,58,62,82
Tax %,29%,30%,28%,23%,20%,17%,14%,14%
Net Profit +,6,8,9,19,27,48,53,70
EPS in Rs,5.04,6.71,8.23,13.32,19.52,31.22,30.77,46.81
Dividend Payout %,5%,7%,0%,4%,3%,2%,2%,1%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,12,12,12,13,14,15,15
Reserves,28,40,47,70,105,202,279,349
Borrowings +,36,32,43,64,89,74,72,324
Other Liabilities +,49,71,90,107,82,72,166,249
Total Liabilities,119,155,192,253,288,361,532,937
Fixed Assets +,9,9,10,11,10,9,8,12
CWIP,0,0,0,0,0,0,2,0
Investments,1,1,0,0,0,0,3,3
Other Assets +,108,145,182,243,278,353,518,922
Total Assets,119,155,192,253,288,361,532,937

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-4,-2,-4,-19,-21,-28,22,-273
Cash from Investing Activity +,-2,-1,-2,-3,-0,-24,-5,-8
Cash from Financing Activity +,7,3,7,22,21,57,20,234
Net Cash Flow,1,-1,2,1,-0,5,37,-47
Free Cash Flow,-6,-3,-6,-21,-22,-29,19,-276
CFO/OP,-21%,5%,-8%,-40%,-38%,-41%,59%,-289%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,44,31,39,33,24,31,49,76
Inventory Days,30,54,46,41,23,18,24,25
Days Payable,29,26,29,27,13,12,30,27
Cash Conversion Cycle,45,59,56,47,34,37,42,75
Working Capital Days,26,35,35,31,31,44,50,47
ROCE %,,21%,19%,24%,24%,26%,21%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.48%,56.91%,56.91%,56.67%,56.68%,56.16%,56.16%,56.60%,56.60%,56.62%,56.62%,56.62%
FIIs +,0.35%,0.01%,0.00%,0.07%,0.14%,0.29%,0.89%,0.98%,1.01%,0.37%,0.22%,0.22%
DIIs +,0.00%,1.06%,1.49%,1.58%,1.57%,1.52%,1.52%,0.96%,0.96%,0.98%,1.04%,1.08%
Public +,36.17%,42.01%,41.59%,41.68%,41.61%,42.02%,41.43%,41.47%,41.43%,42.03%,42.12%,42.09%
No. of Shareholders,"5,662","6,471","6,450","6,386","6,784","10,160","9,737","9,098","9,350","9,426","9,131","8,832"

--- CAGR BOXES ---




