--- ABOUT ---
"The Company was established in 1981. A joint venture agreement was signed between the Government of India and Suzuki Motor Corporation (SMC), Japan in 1982. The Company became a subsidiary of SMC in 2002.It is the market leader in passenger vehicle segment in India. In terms of production volume and sales, the Company is now SMC’s largest subsidiary. SMC currently holds 56.28% of its equity stake. The principal activities of the Company are manufacturing, purchase and sale of motor vehicles, components and spare parts."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,21,142","13,395","17,372 / 12,201",28.7

Book Value,Dividend Yield,ROCE,ROE
"3,408",1.05,19.0,14.4

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"32,214","32,535","37,339","33,513","38,471","35,779","37,449","38,764","40,920","38,605","42,344","49,904","52,462"
Expenses +,"28,320","29,015","32,028","29,073","33,250","30,673","32,450","33,688","36,076","33,983","37,258","44,331","46,304"
Operating Profit,"3,894","3,520","5,312","4,440","5,221","5,107","4,999","5,076","4,844","4,623","5,086","5,573","6,158"
OPM %,12%,11%,14%,13%,14%,14%,13%,13%,12%,12%,12%,11%,12%
Other Income +,850,"1,110",958,"1,053","1,261","1,118","1,570","1,125","1,583","1,924","1,014","1,140",581
Interest,164,46,35,36,76,57,43,46,48,47,57,62,73
Depreciation,"1,240","1,314","1,342","1,302","1,298","1,332","1,386","1,429","1,462","1,556","1,703","1,735","1,748"
Profit before tax,"3,341","3,269","4,892","4,156","5,108","4,836","5,141","4,726","4,918","4,944","4,339","4,917","4,918"
Tax %,20%,22%,23%,23%,23%,22%,40%,21%,20%,23%,23%,21%,26%
Net Profit +,"2,688","2,543","3,786","3,207","3,952","3,760","3,102","3,727","3,911","3,792","3,349","3,879","3,659"
EPS in Rs,88.97,84.18,125.34,102.00,125.71,119.58,98.68,118.54,124.40,120.62,106.52,123.38,116.38
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"50,801","57,589","68,085","79,809","86,068","75,660","70,372","88,330","117,571","141,858","152,913","183,316"
Expenses +,"43,909","48,565","57,664","67,692","75,012","68,305","64,961","82,578","106,542","123,232","132,689","161,860"
Operating Profit,"6,892","9,024","10,421","12,118","11,056","7,355","5,411","5,752","11,029","18,626","20,224","21,456"
OPM %,14%,16%,15%,15%,13%,10%,8%,7%,9%,13%,13%,12%
Other Income +,817,"1,464","2,399","2,155","2,664","3,410","3,046","1,861","2,307","4,248","5,199","4,643"
Interest,218,82,89,346,76,134,102,127,187,194,194,239
Depreciation,"2,515","2,822","2,604","2,760","3,021","3,528","3,034","2,789","2,826","5,256","5,608","6,742"
Profit before tax,"4,976","7,585","10,127","11,167","10,624","7,103","5,321","4,697","10,323","17,424","19,620","19,118"
Tax %,24%,28%,26%,29%,28%,20%,18%,17%,20%,23%,26%,23%
Net Profit +,"3,809","5,497","7,511","7,881","7,651","5,678","4,389","3,880","8,211","13,488","14,500","14,680"
EPS in Rs,126.04,181.98,248.61,260.86,253.21,187.90,145.30,128.43,271.82,429.01,461.20,466.90
Dividend Payout %,20%,19%,30%,31%,32%,32%,31%,47%,33%,29%,29%,30%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,151,151,151,151,151,151,151,151,151,157,157,157
Reserves,"24,167","30,465","36,924","42,408","46,941","49,262","52,350","55,182","61,640","85,479","96,083","106,999"
Borrowings +,666,231,484,121,160,184,541,426,"1,247",119,87,102
Other Liabilities +,"9,492","11,879","14,402","17,568","16,717","14,031","18,335","18,896","21,558","29,550","35,644","41,622"
Total Liabilities,"34,477","42,726","51,960","60,248","63,969","63,628","71,376","74,656","84,597","115,304","131,971","148,881"
Fixed Assets +,"12,490","12,530","13,311","13,389","15,437","15,744","14,989","13,747","17,830","27,865","32,983","34,955"
CWIP,"1,890","1,007","1,252","2,132","1,607","1,415","1,497","2,936","2,904","7,735","7,929","9,406"
Investments,"13,298","20,676","29,151","36,123","37,504","37,488","42,945","42,035","49,184","57,296","66,265","76,838"
Other Assets +,"6,800","8,513","8,247","8,604","9,421","8,980","11,946","15,937","14,678","22,408","24,794","27,681"
Total Assets,"34,477","42,726","51,960","60,248","63,969","63,628","71,376","74,656","84,597","115,304","131,971","148,881"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"6,449","8,482","10,282","11,788","6,601","3,496","8,856","1,840","9,251","16,801","16,136","19,100"
Cash from Investing Activity +,"-4,491","-7,230","-9,173","-8,302","-3,540",-557,"-7,291",-239,"-8,036","-11,865","-14,456","-14,734"
Cash from Financing Activity +,"-2,004","-1,237","-1,129","-3,436","-2,948","-3,104","-1,545","-1,607","-1,213","-4,062","-4,155","-4,484"
Net Cash Flow,-45,16,-20,50,113,-165,20,-6,2,874,"-2,475",-118
Free Cash Flow,"3,408","6,026","6,907","7,903","1,899",96,"6,528","-1,483","3,004","7,646","5,533","8,754"
CFO/OP,109%,115%,121%,122%,88%,67%,182%,52%,104%,110%,99%,109%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,8,6,7,10,10,7,8,10,12,16,11
Inventory Days,28,30,25,21,20,22,22,20,18,19,23,31
Days Payable,57,70,65,70,59,51,73,54,50,62,70,61
Cash Conversion Cycle,-20,-32,-33,-42,-29,-20,-44,-26,-22,-31,-31,-19
Working Capital Days,-26,-27,-36,-40,-30,-20,-50,-30,-26,-26,-24,2
ROCE %,19%,23%,24%,24%,19%,9%,11%,6%,14%,24%,22%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.48%,56.48%,58.19%,58.19%,58.19%,58.19%,58.28%,58.28%,58.28%,58.28%,58.28%,58.53%
FIIs +,21.87%,21.85%,20.60%,19.64%,18.98%,17.68%,15.47%,14.96%,15.20%,15.78%,15.76%,14.12%
DIIs +,18.07%,18.15%,17.64%,18.86%,19.37%,20.75%,22.89%,23.56%,23.25%,22.55%,22.84%,24.09%
Government +,0.06%,0.06%,0.06%,0.06%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%
Public +,3.51%,3.45%,3.50%,3.24%,3.41%,3.31%,3.28%,3.12%,3.18%,3.30%,3.04%,3.18%
No. of Shareholders,"3,78,323","3,68,608","3,87,767","3,64,375","3,89,314","3,82,573","4,06,570","3,78,893","3,67,608","3,69,205","3,66,153","4,00,860"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,12%
5 Years:,21%
3 Years:,16%
TTM:,20%

Compounded Profit Growth
10 Years:,12%
5 Years:,27%
3 Years:,30%
TTM:,2%

Stock Price CAGR
10 Years:,12%
5 Years:,13%
3 Years:,13%
1 Year:,5%

Return on Equity
10 Years:,13%
5 Years:,14%
3 Years:,16%
Last Year:,14%

