--- ABOUT ---
"Established in 2004, Akums Drugs and Pharmaceuticals Limited is a pharmaceutical contract development and manufacturing organization (CDMO) offering a comprehensive range of pharmaceutical products and services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,518",605,635,35.4

Book Value,Dividend Yield,ROCE,ROE
211,0.17,14.9,8.45

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,970,"1,181","1,083",944,"1,019","1,033","1,010","1,056","1,024","1,018","1,160","1,158"
Expenses +,"1,095","1,029",989,941,891,912,889,962,895,923,"1,013","1,006"
Operating Profit,-125,152,93,3,128,121,121,94,129,94,147,152
OPM %,-13%,13%,9%,0%,13%,12%,12%,9%,13%,9%,13%,13%
Other Income +,8,-21,10,10,7,17,19,26,27,32,16,34
Interest,12,14,12,12,13,12,5,5,23,23,24,24
Depreciation,30,30,32,34,34,35,45,40,37,38,40,40
Profit before tax,-159,87,59,-33,87,92,91,75,96,66,100,121
Tax %,18%,62%,-229%,20%,30%,27%,27%,-99%,32%,35%,32%,33%
Net Profit +,-187,33,195,-39,61,67,66,150,65,43,68,81
EPS in Rs,-13.16,2.22,13.54,-2.89,4.08,4.14,4.14,9.38,4.03,2.59,4.21,5.38
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,464","1,651","2,414","2,723","3,672","3,655","4,178","4,118","4,359"
Expenses +,"1,340","1,507","2,240","2,485","3,761","3,361","4,055","3,654","3,837"
Operating Profit,124,144,174,238,-89,294,123,465,522
OPM %,8%,9%,7%,9%,-2%,8%,3%,11%,12%
Other Income +,6,6,26,11,7,15,8,69,109
Interest,23,22,20,7,17,46,51,35,94
Depreciation,31,38,67,70,95,113,126,153,155
Profit before tax,77,89,114,172,-193,150,-45,345,382
Tax %,51%,50%,62%,28%,30%,35%,-102%,0%,33%
Net Profit +,43,61,44,123,-251,98,1,344,256
EPS in Rs,366.55,523.23,335.61,943.49,-35.30,6.63,-0.28,21.49,16.21
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,18%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,1,14,29,29,31,31
Reserves,493,628,721,884,608,689,681,"3,016","3,283"
Borrowings +,255,213,175,130,395,619,565,88,157
Other Liabilities +,293,318,"1,140","1,137","2,033","1,905","2,229",960,"1,976"
Total Liabilities,"1,042","1,161","2,037","2,152","3,050","3,241","3,504","4,095","5,447"
Fixed Assets +,444,501,645,904,"1,021","1,097","1,191","1,397","1,457"
CWIP,0,11,57,17,31,103,195,163,177
Investments,0,18,6,20,0,0,0,0,0
Other Assets +,598,632,"1,329","1,212","1,998","2,041","2,118","2,535","3,814"
Total Assets,"1,042","1,161","2,037","2,152","3,050","3,241","3,504","4,095","5,447"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,72,89,28,131,32,177,498,465,"1,181"
Cash from Investing Activity +,-150,-123,-190,-109,-235,-305,-331,-548,-930
Cash from Financing Activity +,66,37,233,-91,236,125,-108,73,34
Net Cash Flow,-11,4,71,-70,33,-4,59,-10,285
Free Cash Flow,-78,-34,-34,49,-224,-110,212,201,958
CFO/OP,72%,98%,44%,74%,-98%,93%,455%,118%,243%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68,57,88,71,88,84,73,68,67
Inventory Days,114,115,99,93,112,117,90,102,110
Days Payable,67,60,105,74,92,91,76,96,87
Cash Conversion Cycle,115,112,82,90,109,111,87,74,89
Working Capital Days,78,73,55,66,49,46,40,71,66
ROCE %,,14%,,20%,-16%,22%,2%,16%,15%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.26%,75.26%,75.26%,75.26%,75.26%,75.26%,75.26%
FIIs +,7.34%,6.36%,5.77%,4.24%,2.27%,1.14%,1.38%
DIIs +,7.53%,6.99%,7.39%,8.85%,9.28%,14.41%,14.36%
Public +,7.14%,8.64%,8.84%,8.92%,10.46%,6.45%,6.29%
Others +,2.73%,2.73%,2.73%,2.73%,2.73%,2.73%,2.73%
No. of Shareholders,"57,531","68,410","69,366","69,424","75,365","76,869","72,589"

--- CAGR BOXES ---




