--- ABOUT ---
"Tata Motors Commercial Vehicle Limited is the flagship Company of the Tata group, having a long-standing presence in all kinds of small, medium and heavy commercial vehicle segment [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,48,067",402,509 / 306,37.4

Book Value,Dividend Yield,ROCE,ROE
34.6,0.99,35.9,34.0

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"17,535","18,819","21,863","17,324","18,585","21,847","26,098"
Expenses +,"15,828","16,786","19,432","15,248","16,553","19,260","22,771"
Operating Profit,"1,707","2,033","2,431","2,076","2,032","2,587","3,327"
OPM %,10%,11%,11%,12%,11%,12%,13%
Other Income +,206,407,72,332,"-1,865",-981,-28
Interest,408,352,319,254,256,198,166
Depreciation,541,557,592,480,472,483,510
Profit before tax,964,"1,531","1,592","1,674",-561,925,"2,623"
Tax %,48%,12%,16%,17%,55%,24%,32%
Net Profit +,498,"1,355","1,340","1,397",-867,705,"1,793"
EPS in Rs,,,,,,1.91,4.87
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025 10m,Mar 2026
Sales +,"58,217","83,855"
Expenses +,"52,045","76,238"
Operating Profit,"6,172","7,617"
OPM %,11%,9%
Other Income +,685,-135
Interest,"1,079",874
Depreciation,"1,690","1,945"
Profit before tax,"4,088","4,663"
Tax %,22%,35%
Net Profit +,"3,195","3,030"
EPS in Rs,,8.23
Dividend Payout %,0%,49%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,0.00,736
Reserves,"10,533","11,998"
Borrowings +,"9,925","5,615"
Other Liabilities +,"26,393","33,960"
Total Liabilities,"46,851","52,309"
Fixed Assets +,"13,664","13,962"
CWIP,"1,875","2,026"
Investments,"5,282","13,283"
Other Assets +,"26,030","23,038"
Total Assets,"46,851","52,309"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,"8,547","14,981"
Cash from Investing Activity +,456,"-3,892"
Cash from Financing Activity +,"-7,970","-5,223"
Net Cash Flow,"1,033","5,866"
Free Cash Flow,"7,005","12,878"
CFO/OP,139%,209%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,19,12
Inventory Days,43,35
Days Payable,134,101
Cash Conversion Cycle,-72,-54
Working Capital Days,-44,-89
ROCE %,,36%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,42.56%,42.56%
FIIs +,18.29%,19.03%
DIIs +,16.91%,17.58%
Government +,0.31%,0.31%
Public +,21.91%,20.49%
No. of Shareholders,"61,03,194","57,05,074"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,44%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,15%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,34%

