--- ABOUT ---
"Sundaram Finance Holdings Ltd is primarily engaged in the business of Investments, business processing, and support services. It has a 100% subsidiary which is an outsourcing company offering various support services to large and mid-sized firms in and outside India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,782",395,702,16.8

Book Value,Dividend Yield,ROCE,ROE
272,1.69,4.13,8.97

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,35,24,24,25,218,43,30,33,49,179,250,258,298
Expenses +,10,14,11,12,11,9,9,9,12,132,200,210,240
Operating Profit,24,10,13,13,207,34,21,24,37,47,50,49,57
OPM %,70%,41%,54%,52%,95%,79%,70%,72%,76%,26%,20%,19%,19%
Other Income +,1,1,2,2,0,1,2,0,2,43,4,2,9
Interest,0,0,0,0,0,0,0,0,0,5,7,7,7
Depreciation,1,1,1,1,1,1,1,1,1,3,4,4,4
Profit before tax,24,10,14,15,206,34,22,23,38,82,44,40,56
Tax %,18%,133%,37%,24%,15%,29%,35%,25%,44%,24%,36%,37%,9%
Net Profit +,99,71,91,102,269,110,89,106,107,158,103,105,164
EPS in Rs,4.44,3.18,4.08,4.61,12.13,4.97,4.00,4.76,4.82,7.13,4.52,4.64,7.25
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,69,100,93,59,85,91,291,155,985
Expenses +,49,59,62,48,61,45,48,39,782
Operating Profit,21,41,31,10,24,46,243,116,203
OPM %,30%,41%,33%,18%,28%,50%,83%,75%,21%
Other Income +,3,2,5,6,3,3,6,5,60
Interest,0,0,0,0,1,0,1,1,25
Depreciation,1,1,1,2,4,2,3,3,16
Profit before tax,23,42,35,14,22,47,245,117,221
Tax %,22%,28%,16%,32%,21%,32%,21%,34%,25%
Net Profit +,130,137,78,74,161,238,533,412,530
EPS in Rs,5.84,6.19,3.52,3.33,7.35,10.70,24.00,18.55,23.49
Dividend Payout %,17%,19%,24%,10%,37%,37%,32%,32%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,76,76,76,76,111,111,111,111,111
Reserves,"2,736","2,290","1,782","2,119","2,891","3,459","4,682","5,496","5,922"
Borrowings +,0,0,2,4,3,18,18,16,235
Other Liabilities +,128,87,63,107,90,46,137,214,480
Total Liabilities,"2,940","2,453","1,922","2,306","3,096","3,635","4,948","5,837","6,748"
Fixed Assets +,6,6,9,10,9,41,40,49,423
CWIP,0,0,0,0,0,0,0,0,1
Investments,"2,910","2,420","1,879","2,269","3,053","3,553","4,708","5,738","5,781"
Other Assets +,24,27,35,27,34,40,200,50,543
Total Assets,"2,940","2,453","1,922","2,306","3,096","3,635","4,948","5,837","6,748"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,147,58,62,19,30,100,132,188,266
Cash from Investing Activity +,-146,-30,-11,-10,-345,-25,136,-144,-159
Cash from Financing Activity +,-1,-28,-46,-8,319,-73,-103,-211,-50
Net Cash Flow,1,1,5,1,3,2,166,-167,57
Free Cash Flow,146,80,60,18,30,82,131,187,263
CFO/OP,735%,173%,218%,221%,173%,250%,69%,195%,149%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,55,38,30,33,22,28,8,14,77
Inventory Days,,,,,,,,,115
Days Payable,,,,,,,,,91
Cash Conversion Cycle,55,38,30,33,22,28,8,14,102
Working Capital Days,61,60,69,34,52,69,13,54,68
ROCE %,,2%,2%,1%,1%,1%,6%,2%,4%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.59%,55.59%,55.29%,54.97%,54.97%,54.97%,54.97%,54.97%,54.97%,54.97%,55.01%,54.99%
FIIs +,0.19%,0.22%,0.29%,0.23%,0.79%,1.04%,1.02%,1.01%,1.43%,2.60%,3.15%,3.20%
DIIs +,5.58%,5.46%,5.46%,5.45%,5.30%,5.19%,5.19%,5.19%,5.15%,4.90%,4.78%,4.75%
Public +,38.01%,38.09%,38.32%,38.72%,38.31%,38.17%,38.19%,38.19%,37.81%,36.89%,36.42%,36.41%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%
No. of Shareholders,"30,407","32,104","33,559","33,201","34,448","37,142","39,448","39,001","37,271","37,901","36,504","35,782"

--- CAGR BOXES ---




