--- ABOUT ---
"Established in 2009, Enviro Infra Engineers is engaged in the design, construction, operation, and maintenance of water and Waste-Water Treatment Plants (WWTPs) and water supply projects (WSSPs) for government agencies/entities. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,614",206,306,19.1

Book Value,Dividend Yield,ROCE,ROE
70.2,0.00,20.4,17.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,120,150,300,205,213,247,393,241,227,250,427
Expenses +,97,122,214,154,157,194,293,177,162,182,347
Operating Profit,22,28,86,51,56,54,99,64,65,68,80
OPM %,19%,18%,29%,25%,26%,22%,25%,27%,29%,27%,19%
Other Income +,1,2,3,2,9,5,11,3,10,8,11
Interest,5,4,9,8,12,8,8,7,7,10,12
Depreciation,1,2,2,2,2,3,3,3,5,8,9
Profit before tax,17,24,78,43,50,48,99,57,63,58,71
Tax %,29%,28%,27%,30%,27%,24%,25%,26%,22%,28%,23%
Net Profit +,12,17,57,30,36,37,74,42,50,42,54
EPS in Rs,4.64,6.54,4.21,2.25,2.60,2.09,4.17,2.39,2.78,2.30,2.96
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,108,124,224,338,729,"1,066","1,146"
Expenses +,98,110,174,256,562,798,869
Operating Profit,10,15,50,82,166,268,277
OPM %,9%,12%,22%,24%,23%,25%,24%
Other Income +,2,2,2,4,9,19,34
Interest,3,4,4,8,23,37,36
Depreciation,1,1,2,2,6,9,25
Profit before tax,7,12,46,75,147,241,250
Tax %,27%,26%,25%,26%,28%,26%,25%
Net Profit +,5,9,35,55,106,177,188
EPS in Rs,21.35,35.29,141.60,21.46,7.92,10.04,10.42
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,26,137,176,176
Reserves,26,35,69,101,155,819,"1,057"
Borrowings +,26,30,17,65,234,234,422
Other Liabilities +,56,45,59,157,235,270,387
Total Liabilities,111,112,148,348,761,"1,498","2,042"
Fixed Assets +,8,8,10,18,47,70,255
CWIP,0,0,0,0,1,0,114
Investments,0,0,0,0,0,9,67
Other Assets +,103,104,137,329,713,"1,419","1,606"
Total Assets,111,112,148,348,761,"1,498","2,042"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-2,5,42,101,-102,-47,-63
Cash from Investing Activity +,-1,-3,-26,-141,-106,-263,-122
Cash from Financing Activity +,1,-1,-16,42,207,471,75
Net Cash Flow,-2,1,-0,2,-2,162,-110
Free Cash Flow,-4,4,38,90,-135,-93,-245
CFO/OP,-1%,52%,94%,153%,-47%,10%,0%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,200,150,64,61,52,70,53
Inventory Days,14,24,34,20,32,28,16
Days Payable,292,249,145,197,146,112,118
Cash Conversion Cycle,-78,-75,-46,-117,-62,-13,-49
Working Capital Days,22,44,34,-22,24,89,158
ROCE %,,25%,64%,59%,47%,32%,20%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.02%,70.09%,70.09%,70.11%,70.13%,70.19%
FIIs +,1.45%,0.65%,0.33%,0.42%,0.40%,0.58%
DIIs +,5.19%,3.68%,2.71%,1.26%,1.03%,0.87%
Public +,23.35%,25.58%,26.87%,28.20%,28.44%,28.36%
No. of Shareholders,"2,40,931","2,43,784","2,46,179","2,38,697","2,27,269","2,20,192"

--- CAGR BOXES ---




