--- ABOUT ---
"Incorporated in 1999, Concord Enviro Systems Ltd is in the business of manufacturing and trading of water treatment plant components and providing technical consultancy and design services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
726,351,657,31.8

Book Value,Dividend Yield,ROCE,ROE
276,0.00,6.63,4.13

Face Value
5.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,97,123,200,103,162,123,207,102,125,125,206
Expenses +,75,100,161,100,135,119,149,104,117,121,188
Operating Profit,23,23,39,3,27,3,58,-1,7,3,18
OPM %,23%,19%,20%,3%,17%,3%,28%,-1%,6%,3%,9%
Other Income +,1,7,-1,-0,-0,-3,1,14,5,-2,9
Interest,5,4,4,5,5,6,6,5,5,6,6
Depreciation,6,5,3,2,3,3,3,4,4,4,5
Profit before tax,12,21,31,-4,19,-8,51,5,4,-9,17
Tax %,-2%,10%,10%,1%,10%,10%,7%,14%,-12%,-5%,18%
Net Profit +,12,19,28,-4,17,-9,47,4,4,-8,14
EPS in Rs,6.81,10.21,15.42,-2.40,9.51,-4.14,22.77,1.99,2.17,-3.95,6.84
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,383,348,329,343,497,594,558
Expenses +,308,285,275,299,379,501,522
Operating Profit,75,63,55,44,118,93,35
OPM %,20%,18%,17%,13%,24%,16%,6%
Other Income +,2,5,9,8,-40,-2,25
Interest,43,21,20,20,18,22,21
Depreciation,22,25,25,24,16,11,17
Profit before tax,12,23,19,8,44,58,23
Tax %,37%,15%,11%,27%,6%,11%,13%
Net Profit +,8,20,16,5,41,51,20
EPS in Rs,"2,495.24","6,288.89","3,868.54",3.02,22.77,24.88,9.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.31,0.31,0.43,9,9,10,10
Reserves,-20,-11,268,272,313,523,561
Borrowings +,404,367,171,170,159,134,167
Other Liabilities +,137,162,97,141,146,181,213
Total Liabilities,521,518,537,592,628,849,952
Fixed Assets +,100,156,149,139,104,107,137
CWIP,5,8,0,0,2,7,3
Investments,20,0,22,56,60,66,93
Other Assets +,396,353,366,397,462,669,719
Total Assets,521,518,537,592,628,849,952

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,14,62,49,117,-35,5,-23
Cash from Investing Activity +,-12,-23,-28,-50,-3,-122,53
Cash from Financing Activity +,-1,-33,-12,-27,-4,125,-1
Net Cash Flow,2,7,9,41,-42,7,28
Free Cash Flow,-0,41,21,112,-45,-21,-44
CFO/OP,23%,108%,97%,272%,-25%,8%,-41%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,141,160,142,113,126,107,173
Inventory Days,326,253,355,377,254,211,274
Days Payable,205,180,195,218,191,167,202
Cash Conversion Cycle,263,232,302,271,189,151,244
Working Capital Days,-143,-144,120,48,100,145,186
ROCE %,,12%,10%,6%,25%,15%,7%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.39%,51.39%,51.39%,51.39%,51.43%,51.43%
FIIs +,3.62%,1.59%,0.95%,0.94%,0.26%,1.28%
DIIs +,14.94%,15.42%,12.20%,11.30%,10.67%,7.25%
Public +,30.07%,31.60%,35.46%,36.38%,37.65%,40.05%
No. of Shareholders,"60,160","56,042","56,092","54,564","51,508","49,708"

--- CAGR BOXES ---




