--- ABOUT ---
Olectra Greentech Limited was incorporated in 2000 . The Company is primarily engaged in the manufacturing of composite polymer insulators and electrical buses. Its registered office is in Hyderabad. [1] [2]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,479","1,520","1,714 / 867",70.3

Book Value,Dividend Yield,ROCE,ROE
150,0.03,21.0,15.6

Face Value
4.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,376,216,307,342,289,314,524,515,449,347,657,664,645
Expenses +,326,176,267,293,254,270,442,436,395,299,568,570,545
Operating Profit,50,40,41,49,34,44,81,79,54,48,89,93,100
OPM %,13%,19%,13%,14%,12%,14%,16%,15%,12%,14%,14%,14%,15%
Other Income +,2,1,5,7,8,7,4,3,5,8,4,4,7
Interest,8,7,10,13,13,10,11,11,20,12,14,20,15
Depreciation,9,9,9,9,10,9,10,9,10,10,11,13,11
Profit before tax,35,25,27,34,20,32,65,62,29,34,68,64,80
Tax %,22%,28%,30%,20%,26%,24%,26%,25%,29%,23%,28%,27%,28%
Net Profit +,28,18,19,27,15,24,48,47,21,26,49,47,57
EPS in Rs,3.29,2.20,2.20,3.29,1.67,2.92,5.79,5.64,2.56,3.17,6.04,5.65,6.76
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,92,93,105,161,170,201,281,593,"1,091","1,154","1,802","2,312"
Expenses +,75,75,85,148,185,195,261,509,949,988,"1,540","1,982"
Operating Profit,17,18,20,14,-15,5,20,85,141,166,262,330
OPM %,18%,20%,19%,9%,-9%,3%,7%,14%,13%,14%,15%,14%
Other Income +,1,1,1,7,15,44,11,6,13,20,14,22
Interest,6,6,6,6,15,14,8,9,31,43,51,61
Depreciation,6,5,2,3,7,18,13,29,33,37,37,45
Profit before tax,6,8,13,12,-22,17,11,52,89,106,188,246
Tax %,23%,29%,36%,25%,-28%,22%,26%,32%,25%,26%,26%,27%
Net Profit +,5,6,8,9,-16,14,8,35,67,79,139,180
EPS in Rs,1.37,1.61,2.33,1.77,-1.99,1.65,0.98,4.31,7.99,9.36,16.92,21.62
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,9%,5%,4%,2%,3%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,20,32,33,33,33,33,33,33,33
Reserves,66,72,52,178,671,700,708,744,807,881,"1,016","1,195"
Borrowings +,45,55,65,72,24,30,8,67,134,121,255,380
Other Liabilities +,38,33,32,45,136,219,185,346,583,554,867,959
Total Liabilities,164,174,163,315,863,981,934,"1,190","1,557","1,589","2,171","2,567"
Fixed Assets +,79,76,61,72,173,151,290,325,356,330,355,574
CWIP,19,19,11,6,-0,-0,-0,3,4,72,187,82
Investments,-0,-0,-0,-0,102,-0,-0,0,2,11,73,94
Other Assets +,66,79,91,237,589,831,645,862,"1,195","1,175","1,557","1,817"
Total Assets,164,174,163,315,863,981,934,"1,190","1,557","1,589","2,171","2,567"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,-14,-9,-107,-130,-219,209,121,-10,143,141,104
Cash from Investing Activity +,5,5,-6,-19,-307,199,-177,-164,-38,-86,-225,-167
Cash from Financing Activity +,-6,10,15,126,457,0,-22,50,35,-56,83,67
